Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,2.0,2.0,2.0,2.0,18.42,25.0,25.0,25.0,SUPREMEENG
Reserves,,,6.0,5.49,11.59,13.74,10.06,25.97,25.68,22.73,SUPREMEENG
Borrowings,,,16.01,26.28,81.98,87.96,82.92,89.36,89.7,106.13,SUPREMEENG
Other Liabilities,,,26.0,31.86,18.0,38.04,62.74,51.25,90.15,58.83,SUPREMEENG
Total,,,50.01,65.63,113.57,141.74,174.14,191.58,230.53,212.69,SUPREMEENG
Net Block,,,10.99,10.36,16.9,19.74,27.65,28.41,28.15,25.07,SUPREMEENG
Capital Work in Progress,,,,,7.27,6.07,1.65,,,,SUPREMEENG
Investments,,,0.39,0.4,6.93,6.93,0.03,0.03,0.01,0.01,SUPREMEENG
Other Assets,,,38.63,54.87,82.47,109.0,144.81,163.14,202.37,187.61,SUPREMEENG
Total,,,50.01,65.63,113.57,141.74,174.14,191.58,230.53,212.69,SUPREMEENG
Receivables,,,5.96,17.22,27.29,40.3,52.65,62.09,92.18,71.33,SUPREMEENG
Inventory,,,25.18,25.44,46.06,58.78,81.71,91.55,102.72,106.21,SUPREMEENG
Cash & Bank,,,2.83,2.58,2.67,3.24,4.98,5.45,3.8,5.41,SUPREMEENG
No. of Equity Shares,,,200000.0,200000.0,200000.0,200000.0,18419000.0,24995000.0,24995000.0,24995000.0,SUPREMEENG
New Bonus Shares,,,,,,,,,,,SUPREMEENG
Face value,,,100.0,100.0,100.0,100.0,10.0,10.0,10.0,10.0,SUPREMEENG
