Report Date,Unnamed: 1,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,0.9,0.64,0.92,0.09,0.18,0.41,0.53,0.38,0.79,KEERTI
Expenses,,1.33,0.45,1.12,0.11,0.57,0.67,0.62,0.51,0.75,KEERTI
Other Income,,0.24,0.01,0.25,,0.29,0.15,0.15,,,KEERTI
Depreciation,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,KEERTI
Interest,,,,,,0.02,,,,,KEERTI
Profit before tax,,-0.2,0.19,0.04,-0.03,-0.13,-0.12,0.05,-0.14,0.03,KEERTI
Tax,,,0.1,0.02,,,,,,,KEERTI
Net profit,,-0.2,0.09,0.02,-0.03,-0.13,-0.12,0.05,-0.13,0.03,KEERTI
Operating Profit,,-0.43,0.19,-0.2,-0.02,-0.39,-0.26,-0.09,-0.13,0.04,KEERTI
