Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,70.6,141.21,141.21,141.21,141.21,141.21,148.88,149.12,POLYCAB
Reserves,,,1294.18,1484.14,1637.87,1853.03,2206.62,2707.74,3688.7,4557.62,POLYCAB
Borrowings,,,444.91,545.45,794.22,844.33,789.04,258.25,145.56,91.88,POLYCAB
Other Liabilities,,,762.45,1154.47,1304.89,1722.21,1286.66,2488.22,1945.07,1928.28,POLYCAB
Total,,,2572.14,3325.27,3878.19,4560.78,4423.53,5595.42,5928.21,6726.9,POLYCAB
Net Block,,,692.63,822.41,984.42,1112.56,1179.94,1255.01,1395.08,1580.66,POLYCAB
Capital Work in Progress,,,113.46,179.21,131.67,164.88,135.4,185.87,240.97,98.47,POLYCAB
Investments,,,12.93,1.98,4.25,37.0,38.6,42.69,86.19,696.98,POLYCAB
Other Assets,,,1753.12,2321.67,2757.85,3246.34,3069.59,4111.85,4205.97,4350.79,POLYCAB
Total,,,2572.14,3325.27,3878.19,4560.78,4423.53,5595.42,5928.21,6726.9,POLYCAB
Receivables,,,824.41,1080.98,1353.92,1198.21,1291.24,1341.59,1439.4,1431.22,POLYCAB
Inventory,,,578.03,904.61,979.94,1517.32,1355.9,1980.43,1906.32,1951.18,POLYCAB
Cash & Bank,,,27.09,23.27,44.89,28.11,9.16,315.32,277.06,487.89,POLYCAB
No. of Equity Shares,,,70602919.0,141205838.0,141205838.0,141205838.0,141205838.0,141205838.0,148879373.0,149118814.0,POLYCAB
New Bonus Shares,,,,70602919.0,,,,,,,POLYCAB
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,POLYCAB
