Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,,,,14.16,9.06,6.57,-17.06,29.97,-1.48,KPIGLOBAL
Cash from Investing Activity,,,,,-25.0,-35.95,-29.31,-15.14,-108.97,-57.67,KPIGLOBAL
Cash from Financing Activity,,,,,13.57,24.88,22.87,33.07,87.3,70.17,KPIGLOBAL
Net Cash Flow,,,,,2.72,-2.01,0.13,0.87,8.3,11.03,KPIGLOBAL
