Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,1095.14,1192.8,1193.08,1610.25,1610.6,BANDHANBNK
Reserves,,,,,,3351.31,8189.14,10008.66,13585.21,15797.58,BANDHANBNK
Borrowings,,,,,,24257.6,34154.0,43752.97,73460.68,94932.58,BANDHANBNK
Other Liabilities,,,,,,1532.04,774.12,1487.0,3061.66,2652.3,BANDHANBNK
Total,,,,,,30236.09,44310.06,56441.71,91717.8,114993.06,BANDHANBNK
Net Block,,,,,,251.79,238.13,222.23,347.27,431.96,BANDHANBNK
Capital Work in Progress,,,,,,,,108.97,21.5,54.75,BANDHANBNK
Investments,,,,,,5516.49,8371.94,10037.48,15351.77,25155.39,BANDHANBNK
Other Assets,,,,,,24467.81,35699.99,46073.03,75997.26,89350.96,BANDHANBNK
Total,,,,,,30236.09,44310.06,56441.71,91717.8,114993.06,BANDHANBNK
Receivables,,,,,,,,,,,BANDHANBNK
Inventory,,,,,,,,,,,BANDHANBNK
Cash & Bank,,,,,,7365.0,5510.58,5802.66,8352.9,6192.94,BANDHANBNK
No. of Equity Shares,,,,,,1095141034.0,1192804944.0,1193082855.0,1610247843.0,1610599201.0,BANDHANBNK
New Bonus Shares,,,,,,,,,,,BANDHANBNK
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,BANDHANBNK
