SYMBOL,NAME OF COMPANY, SERIES
GREENPANEL,Greenpanel Industries Limited,EQ
GREENPLY,Greenply Industries Limited,EQ
GREENPOWER,Orient Green Power Company Limited,BE
GRINDWELL,Grindwell Norton Limited,EQ
GRINFRA,G R Infraprojects Limited,EQ
GROBTEA,The Grob Tea Company Limited,EQ
GRPLTD,GRP Limited,EQ
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ
GSPL,Gujarat State Petronet Limited,EQ
GSS,GSS Infotech Limited,BE
GTL,GTL Limited,EQ
GTLINFRA,GTL Infrastructure Limited,BE
GTNTEX,GTN Textiles Limited,EQ
GTPL,GTPL Hathway Limited,EQ
GUFICBIO,Gufic Biosciences Limited,EQ
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ
GUJGASLTD,Gujarat Gas Limited,EQ
GUJRAFFIA,Gujarat Raffia Industries Limited,BE
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ
GULFPETRO,GP Petroleums Limited,EQ
GULPOLY,Gulshan Polyols Limited,BE
HAL,Hindustan Aeronautics Limited,EQ
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ
HARRMALAYA,Harrisons  Malayalam Limited,EQ
HATHWAY,Hathway Cable & Datacom Limited,EQ
HATSUN,Hatsun Agro Product Limited,EQ
HAVELLS,Havells India Limited,EQ
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE
HBLPOWER,HBL Power Systems Limited,EQ
HBSL,HB Stockholdings Limited,EQ
HCC,Hindustan Construction Company Limited,EQ
HCG,Healthcare Global Enterprises Limited,EQ
HCL-INSYS,HCL Infosystems Limited,EQ
HCLTECH,HCL Technologies Limited,EQ
HDFC,Housing Development Finance Corporation Limited,EQ
HDFCAMC,HDFC Asset Management Company Limited,EQ
HDFCBANK,HDFC Bank Limited,EQ
HDFCLIFE,HDFC Life Insurance Company Limited,EQ
HDIL,Housing Development and Infrastructure Limited,BZ
HECPROJECT,HEC Infra Projects Limited,EQ
HEG,HEG Limited,EQ
HEIDELBERG,HeidelbergCement India Limited,EQ
HEMIPROP,Hemisphere Properties India Limited,EQ
HERANBA,Heranba Industries Limited,EQ
HERCULES,Hercules Hoists Limited,EQ
HERITGFOOD,Heritage Foods Limited,EQ
HEROMOTOCO,Hero MotoCorp Limited,EQ
HESTERBIO,Hester Biosciences Limited,EQ
HEXATRADEX,Hexa Tradex Limited,EQ
HFCL,HFCL Limited,EQ
HGINFRA,H.G. Infra Engineering Limited,EQ
HGS,Hinduja Global Solutions Limited,EQ
HIKAL,Hikal Limited,EQ
HIL,HIL Limited,EQ
HILTON,Hilton Metal Forging Limited,BE
HIMATSEIDE,Himatsingka Seide Limited,EQ
HINDALCO,Hindalco Industries Limited,EQ
HINDCOMPOS,Hindustan Composites Limited,EQ
HINDCON,Hindcon Chemicals Limited,EQ
HINDCOPPER,Hindustan Copper Limited,EQ
HINDMOTORS,Hindustan Motors Limited,BE
HINDNATGLS,Hindusthan National Glass & Industries Limited,EQ
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ
HINDUNILVR,Hindustan Unilever Limited,EQ
HINDZINC,Hindustan Zinc Limited,EQ
HIRECT,Hind Rectifiers Limited,EQ
HISARMETAL,Hisar Metal Industries Limited,EQ
HITECH,Hi-Tech Pipes Limited,EQ
HITECHCORP,Hitech Corporation Limited,EQ
HITECHGEAR,The Hi-Tech Gears Limited,EQ
HLEGLAS,HLE Glascoat Limited,EQ
HLVLTD,HLV LIMITED,BE
HMT,HMT Limited,BZ
HMVL,Hindustan Media Ventures Limited,EQ
HNDFDS,Hindustan Foods Limited,EQ
HOMEFIRST,Home First Finance Company India Limited,EQ
HONAUT,Honeywell Automation India Limited,EQ
HONDAPOWER,Honda India Power Products Limited,EQ
HOTELRUGBY,Hotel Rugby Limited,EQ
HOVS,HOV Services Limited,EQ
HPAL,HP Adhesives Limited,BE
HPL,HPL Electric & Power Limited,EQ
HSCL,Himadri Speciality Chemical Limited,EQ
HSIL,HSIL Limited,EQ
HTMEDIA,HT Media Limited,EQ
HUBTOWN,Hubtown Limited,EQ
HUDCO,Housing & Urban Development Corporation Limited,EQ
HUHTAMAKI,Huhtamaki India Limited,EQ
IBREALEST,Indiabulls Real Estate Limited,EQ
IBULHSGFIN,Indiabulls Housing Finance Limited,EQ
ICDSLTD,ICDS Limited,BE
ICEMAKE,Ice Make Refrigeration Limited,EQ
ICICIBANK,ICICI Bank Limited,EQ
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ
ICIL,Indo Count Industries Limited,EQ
ICRA,ICRA Limited,EQ
IDBI,IDBI Bank Limited,EQ
IDEA,Vodafone Idea Limited,EQ
IDFC,IDFC Limited,EQ
IDFCFIRSTB,IDFC First Bank Limited,EQ
IEX,Indian Energy Exchange Limited,EQ
IFBAGRO,IFB Agro Industries Limited,EQ
IFBIND,IFB Industries Limited,EQ
IFCI,IFCI Limited,EQ
IFGLEXPOR,IFGL Refractories Limited,EQ
IGARASHI,Igarashi Motors India Limited,EQ
IGL,Indraprastha Gas Limited,EQ
IGPL,IG Petrochemicals Limited,EQ
IIFL,IIFL Finance Limited,EQ
IIFLSEC,IIFL Securities Limited,EQ
IIFLWAM,Iifl Wealth Management Limited,EQ
IITL,Industrial Investment Trust Limited,BE
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ
IMAGICAA,Imagicaaworld Entertainment Limited,BE
IMFA,Indian Metals & Ferro Alloys Limited,EQ
IMPAL,India Motor Parts and Accessories Limited,EQ
IMPEXFERRO,Impex Ferro Tech Limited,EQ
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ
INDBANK,Indbank Merchant Banking Services Limited,EQ
INDHOTEL,The Indian Hotels Company Limited,EQ
INDIACEM,The India Cements Limited,EQ
INDIAGLYCO,India Glycols Limited,EQ
INDIAMART,Indiamart Intermesh Limited,EQ
INDIANB,Indian Bank,EQ
INDIANCARD,Indian Card Clothing Company Limited,EQ
INDIANHUME,Indian Hume Pipe Company Limited,EQ
INDIGO,InterGlobe Aviation Limited,EQ
INDIGOPNTS,Indigo Paints Limited,EQ
INDLMETER,IMP Powers Limited,EQ
INDNIPPON,India Nippon Electricals Limited,EQ
INDOCO,Indoco Remedies Limited,EQ
INDORAMA,Indo Rama Synthetics (India) Limited,EQ
INDOSOLAR,Indosolar Limited,BZ
INDOSTAR,IndoStar Capital Finance Limited,EQ
INDOTECH,Indo Tech Transformers Limited,EQ
INDOTHAI,Indo Thai Securities Limited,EQ
INDOWIND,Indowind Energy Limited,BE
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ
INDSWFTLTD,Ind-Swift Limited,EQ
INDTERRAIN,Indian Terrain Fashions Limited,EQ
INDUSINDBK,IndusInd Bank Limited,EQ
INDUSTOWER,Indus Towers Limited,EQ
INEOSSTYRO,INEOS Styrolution India Limited,EQ
INFIBEAM,Infibeam Avenues Limited,EQ
INFOBEAN,InfoBeans Technologies Limited,EQ
INFY,Infosys Limited,EQ
INGERRAND,Ingersoll Rand (India) Limited,EQ
INOXLEISUR,INOX Leisure Limited,EQ
INOXWIND,Inox Wind Limited,EQ
INSECTICID,Insecticides (India) Limited,EQ
INSPIRISYS,Inspirisys Solutions Limited,BE
INTEGRA,Integra Garments and Textiles Limited,EQ
INTELLECT,Intellect Design Arena Limited,EQ
INTENTECH,Intense Technologies Limited,EQ
INTLCONV,International Conveyors Limited,EQ
INVENTURE,Inventure Growth & Securities Limited,EQ
IOB,Indian Overseas Bank,EQ
IOC,Indian Oil Corporation Limited,EQ
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ
IPCALAB,IPCA Laboratories Limited,EQ
IPL,India Pesticides Limited,EQ
IRB,IRB Infrastructure Developers Limited,EQ
IRCON,Ircon International Limited,EQ
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ
IRFC,Indian Railway Finance Corporation Limited,EQ
IRIS,Iris Business Services Limited,EQ
IRISDOREME,Iris Clothings Limited,EQ
ISEC,ICICI Securities Limited,EQ
ISFT,Intrasoft Technologies Limited,EQ
ISGEC,Isgec Heavy Engineering Limited,EQ
ISMTLTD,ISMT Limited,EQ
ITC,ITC Limited,EQ
ITDC,India Tourism Development Corporation Limited,EQ
ITDCEM,ITD Cementation India Limited,EQ
ITI,ITI Limited,EQ
IVC,IL&FS Investment Managers Limited,EQ
IVP,IVP Limited,EQ
IWEL,Inox Wind Energy Limited,BE
IZMO,IZMO Limited,EQ
J&KBANK,The Jammu & Kashmir Bank Limited,EQ
JAGRAN,Jagran Prakashan Limited,EQ
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ
JAIBALAJI,Jai Balaji Industries Limited,EQ
JAICORPLTD,Jai Corp Limited,EQ
JAINSTUDIO,Jain Studios Limited,BZ
JAIPURKURT,Nandani Creation Limited,EQ
JAMNAAUTO,Jamna Auto Industries Limited,EQ
JASH,Jash Engineering Limited,EQ
JAYAGROGN,Jayant Agro Organics Limited,EQ
JAYBARMARU,Jay Bharat Maruti Limited,EQ
JAYNECOIND,Jayaswal Neco Industries Limited,BE
JAYSREETEA,Jayshree Tea & Industries Limited,EQ
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ
JBFIND,JBF Industries Limited,BE
JBMA,JBM Auto Limited,EQ
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ
JETAIRWAYS,Jet Airways (India) Limited,BZ
JETFREIGHT,Jet Freight Logistics Limited,EQ
JHS,JHS Svendgaard Laboratories Limited,EQ
JINDALPHOT,Jindal Photo Limited,EQ
JINDALPOLY,Jindal Poly Films Limited,EQ
JINDALSAW,Jindal Saw Limited,EQ
JINDALSTEL,Jindal Steel & Power Limited,EQ
JINDRILL,Jindal Drilling And Industries Limited,EQ
JINDWORLD,Jindal Worldwide Limited,EQ
JISLDVREQS,Jain Irrigation Systems Limited,BE
JITFINFRA,JITF Infralogistics Limited,BE
JKCEMENT,JK Cement Limited,EQ
JKIL,J.Kumar Infraprojects Limited,EQ
JKLAKSHMI,JK Lakshmi Cement Limited,EQ
JKPAPER,JK Paper Limited,EQ
JKTYRE,JK Tyre & Industries Limited,EQ
JMA,Jullundur Motor Agency (Delhi) Limited,EQ
JMCPROJECT,JMC Projects (India)  Limited,EQ
JMFINANCIL,JM Financial Limited,EQ
JOCIL,Jocil Limited,EQ
JPASSOCIAT,Jaiprakash Associates Limited,EQ
JPINFRATEC,Jaypee Infratech Limited,EQ
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,BE
JPPOWER,Jaiprakash Power Ventures Limited,EQ
JSL,Jindal Stainless Limited,EQ
JSLHISAR,Jindal Stainless (Hisar) Limited,EQ
JSWENERGY,JSW Energy Limited,BE
JSWHL,JSW Holdings Limited,EQ
JSWISPL,JSW Ispat Special Products Limited,EQ
JSWSTEEL,JSW Steel Limited,EQ
JTEKTINDIA,Jtekt India Limited,EQ
JTLINFRA,JTL Infra Limited,EQ
JUBLFOOD,Jubilant Foodworks Limited,EQ
JUBLINDS,Jubilant Industries Limited,EQ
JUBLINGREA,Jubilant Ingrevia Limited,EQ
JUBLPHARMA,Jubilant Pharmova Limited,EQ
JUSTDIAL,Just Dial Limited,EQ
JYOTHYLAB,Jyothy Labs Limited,EQ
JYOTISTRUC,Jyoti Structures Limited,BZ
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ
KAJARIACER,Kajaria Ceramics Limited,EQ
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ
KALPATPOWR,Kalpataru Power Transmission Limited,EQ
KALYANI,Kalyani Commercials Limited,BE
KALYANIFRG,Kalyani Forge Limited,BE
KALYANKJIL,Kalyan Jewellers India Limited,EQ
KAMATHOTEL,Kamat Hotels (I) Limited,EQ
KAMDHENU,Kamdhenu Limited,EQ
KANANIIND,Kanani Industries Limited,EQ
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ
KANPRPLA,Kanpur Plastipack Limited,EQ
KANSAINER,Kansai Nerolac Paints Limited,EQ
KAPSTON,Kapston Facilities Management Limited,EQ
KARMAENG,Karma Energy Limited,EQ
KARURVYSYA,Karur Vysya Bank Limited,EQ
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ
KAVVERITEL,Kavveri Telecom Products Limited,BE
KAYA,Kaya Limited,EQ
KBCGLOBAL,KBC Global Limited,EQ
KCP,KCP Limited,EQ
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ
KDDL,KDDL Limited,EQ
KEC,KEC International Limited,EQ
KECL,Kirloskar Electric Company Limited,BE
KEERTI,Keerti Knowledge and Skills Limited,EQ
KEI,KEI Industries Limited,EQ
KELLTONTEC,Kellton Tech Solutions Limited,EQ
KENNAMET,Kennametal India Limited,EQ
KERNEX,Kernex Microsystems (India) Limited,BE
KESORAMIND,Kesoram Industries Limited,EQ
KEYFINSERV,Keynote Financial Services Limited,EQ
KHADIM,Khadim India Limited,EQ
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ
KHAITANLTD,Khaitan (India) Limited,BE
KHANDSE,Khandwala Securities Limited,EQ
KICL,Kalyani Investment Company Limited,EQ
KILITCH,Kilitch Drugs (India) Limited,EQ
KIMS,Krishna Institute of Medical Sciences Limited,EQ
KINGFA,Kingfa Science & Technology (India) Limited,EQ
KIOCL,KIOCL Limited,EQ
KIRIINDUS,Kiri Industries Limited,EQ
KIRLFER,Kirloskar Ferrous Industries Ltd,EQ
KIRLOSBROS,Kirloskar Brothers Limited,EQ
KIRLOSENG,Kirloskar Oil Engines Limited,EQ
KIRLOSIND,Kirloskar Industries Limited,EQ
KITEX,Kitex Garments Limited,EQ
KKCL,Kewal Kiran Clothing Limited,EQ
KMSUGAR,K.M.Sugar Mills Limited,EQ
KNRCON,KNR Constructions Limited,EQ
KOKUYOCMLN,Kokuyo Camlin Limited,EQ
KOLTEPATIL,Kolte - Patil Developers Limited,EQ
KOPRAN,Kopran Limited,EQ
KOTAKBANK,Kotak Mahindra Bank Limited,EQ
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ
KOTHARIPET,Kothari Petrochemicals Limited,EQ
KOTHARIPRO,Kothari Products Limited,EQ
KOVAI,Kovai Medical Center and Hospital Limited,EQ
KPIGLOBAL,K.P.I. Global Infrastructure Limited,EQ
KPITTECH,KPIT Technologies Limited,EQ
KPRMILL,K.P.R. Mill Limited,EQ
KRBL,KRBL Limited,EQ
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ
KRIDHANINF,Kridhan Infra Limited,EQ
KRISHANA,Krishana Phoschem Limited,EQ
KRITI,Kriti Industries (India) Limited,EQ
KRSNAA,Krsnaa Diagnostics Limited,EQ
KSB,Ksb Limited,EQ
KSCL,Kaveri Seed Company Limited,EQ
KSL,Kalyani Steels Limited,EQ
KTKBANK,The Karnataka Bank Limited,EQ
KUANTUM,Kuantum Papers Limited,EQ
L&TFH,L&T Finance Holdings Limited,EQ
LAGNAM,Lagnam Spintex Limited,EQ
LAKPRE,Lakshmi Precision Screws Limited,BZ
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ
LAMBODHARA,Lambodhara Textiles Limited,EQ
LAOPALA,La Opala RG Limited,EQ
LASA,Lasa Supergenerics Limited,EQ
LATENTVIEW,Latent View Analytics Limited,EQ
LAURUSLABS,Laurus Labs Limited,EQ
LAXMICOT,Laxmi Cotspin Limited,EQ
LAXMIMACH,Lakshmi Machine Works Limited,EQ
LCCINFOTEC,LCC Infotech Limited,EQ
LEMONTREE,Lemon Tree Hotels Limited,EQ
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ
LGBFORGE,LGB Forge Limited,EQ
LIBAS,Libas Consumer Products Limited,EQ
LIBERTSHOE,Liberty Shoes Limited,EQ
LICHSGFIN,LIC Housing Finance Limited,EQ
LIKHITHA,Likhitha Infrastructure Limited,EQ
LINC,Linc Limited,EQ
LINCOLN,Lincoln Pharmaceuticals Limited,EQ
LINDEINDIA,Linde India Limited,EQ
LODHA,Macrotech Developers Limited,EQ
LOKESHMACH,Lokesh Machines Limited,EQ
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ
LOVABLE,Lovable Lingerie Limited,BE
LPDC,Landmark Property Development Company Limited,EQ
LSIL,Lloyds Steels Industries Limited,BE
LT,Larsen & Toubro Limited,EQ
LTI,Larsen & Toubro Infotech Limited,EQ
LTTS,L&T Technology Services Limited,EQ
LUMAXIND,Lumax Industries Limited,EQ
LUMAXTECH,Lumax Auto Technologies Limited,EQ
LUPIN,Lupin Limited,EQ
LUXIND,Lux Industries Limited,EQ
LXCHEM,Laxmi Organic Industries Limited,EQ
LYKALABS,Lyka Labs Limited,EQ
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ
M&M,Mahindra & Mahindra Limited,EQ
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ
MAANALU,Maan Aluminium Limited,EQ
MACPOWER,Macpower CNC Machines Limited,EQ
MADHAV,Madhav Marbles and Granites Limited,EQ
MADHUCON,Madhucon Projects Limited,BE
MADRASFERT,Madras Fertilizers Limited,EQ
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ
MAGNUM,Magnum Ventures Limited,EQ
MAHABANK,Bank of Maharashtra,EQ
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE
MAHASTEEL,Mahamaya Steel Industries Limited,EQ
MAHEPC,Mahindra EPC Irrigation Limited,EQ
MAHESHWARI,Maheshwari Logistics Limited,EQ
MAHINDCIE,Mahindra CIE Automotive Limited,EQ
MAHLIFE,Mahindra Lifespace Developers Limited,EQ
MAHLOG,Mahindra Logistics Limited,EQ
MAHSCOOTER,Maharashtra Scooters Limited,EQ
MAHSEAMLES,Maharashtra Seamless Limited,EQ
MAITHANALL,Maithan Alloys Limited,EQ
MALUPAPER,Malu Paper Mills Limited,EQ
MANAKALUCO,Manaksia Aluminium Company Limited,EQ
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ
MANAKSIA,Manaksia Limited,EQ
MANAKSTEEL,Manaksia Steels Limited,EQ
MANALIPETC,Manali Petrochemicals Limited,EQ
MANAPPURAM,Manappuram Finance Limited,EQ
MANGALAM,Mangalam Drugs And Organics Limited,EQ
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ
MANGLMCEM,Mangalam Cement Limited,EQ
MANGTIMBER,Mangalam Timber Products Limited,EQ
MANINDS,Man Industries (India) Limited,EQ
MANINFRA,Man Infraconstruction Limited,EQ
MANORG,Mangalam Organics Limited,EQ
MANUGRAPH,Manugraph India Limited,BE
MAPMYINDIA,C.E. Info Systems Limited,EQ
MARALOVER,Maral Overseas Limited,EQ
MARATHON,Marathon Nextgen Realty Limited,EQ
MARICO,Marico Limited,EQ
MARINE,Marine Electricals (India) Limited,EQ
MARKSANS,Marksans Pharma Limited,EQ
MARSHALL,Marshall Machines Limited,EQ
MARUTI,Maruti Suzuki India Limited,EQ
MASFIN,MAS Financial Services Limited,EQ
MASKINVEST,Mask Investments Limited,BE
MASTEK,Mastek Limited,EQ
MATRIMONY,Matrimony.Com Limited,EQ
MAWANASUG,Mawana Sugars Limited,EQ
MAXHEALTH,Max Healthcare Institute Limited,EQ
MAXIND,Max India Limited,EQ
MAXVIL,Max Ventures and Industries Limited,EQ
MAYURUNIQ,Mayur Uniquoters Ltd,EQ
MAZDA,Mazda Limited,EQ
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ
MBAPL,Madhya Bharat Agro Products Limited,EQ
MBECL,Mcnally Bharat Engineering Company Limited,BE
MBLINFRA,MBL Infrastructures Limited,EQ
MCDHOLDING,McDowell Holdings Limited,BE
MCDOWELL-N,United Spirits Limited,EQ
MCL,Madhav Copper Limited,EQ
MCLEODRUSS,Mcleod Russel India Limited,EQ
MCX,Multi Commodity Exchange of India Limited,EQ
MEDICAMEQ,Medicamen Biotech Limited,EQ
MEDPLUS,Medplus Health Services Limited,EQ
MEGASOFT,Megasoft Limited,BE
MENONBE,Menon Bearings Limited,EQ
MEP,MEP Infrastructure Developers Limited,BE
MERCATOR,Mercator Limited,BE
METALFORGE,Metalyst Forgings Limited,BZ
METROBRAND,Metro Brands Limited,EQ
METROPOLIS,Metropolis Healthcare Limited,EQ
MFL,Meghmani Finechem Limited,EQ
MFSL,Max Financial Services Limited,EQ
MGEL,Mangalam Global Enterprise Limited,BE
MGL,Mahanagar Gas Limited,EQ
MHRIL,Mahindra Holidays & Resorts India Limited,EQ
MICEL,MIC Electronics Limited,BE
MIDHANI,Mishra Dhatu Nigam Limited,EQ
MINDACORP,Minda Corporation Limited,EQ
MINDAIND,Minda Industries Limited,EQ
MINDTECK,Mindteck (India) Limited,EQ
MINDTREE,MindTree Limited,EQ
MIRCELECTR,MIRC Electronics Limited,EQ
MIRZAINT,Mirza International Limited,EQ
MITTAL,Mittal Life Style Limited,EQ
MMFL,MM Forgings Limited,EQ
MMP,MMP Industries Limited,EQ
MMTC,MMTC Limited,EQ
MODIRUBBER,Modi Rubber Limited,BE
MODISNME,Modison Metals Limited,EQ
MOHITIND,Mohit Industries Limited,EQ
MOIL,MOIL Limited,EQ
MOKSH,Moksh Ornaments Limited,EQ
MOL,Meghmani Organics Limited,EQ
MOLDTECH,Mold-Tek Technologies Limited,EQ
MOLDTKPAC,Mold-Tek Packaging Limited,EQ
MONTECARLO,Monte Carlo Fashions Limited,EQ
MORARJEE,Morarjee Textiles Limited,EQ
MOREPENLAB,Morepen Laboratories Limited,EQ
MOTHERSUMI,Motherson Sumi Systems Limited,EQ
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ
MOTOGENFIN,The Motor & General Finance Limited,BE
MPHASIS,MphasiS Limited,EQ
MPSLTD,MPS Limited,EQ
MRF,MRF Limited,EQ
MRO-TEK,MRO-TEK Realty Limited,EQ
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ
MSPL,MSP Steel & Power Limited,EQ
MSTCLTD,Mstc Limited,EQ
MTARTECH,Mtar Technologies Limited,EQ
MTEDUCARE,MT Educare Limited,EQ
MTNL,Mahanagar Telephone Nigam Limited,EQ
MUKANDENGG,Mukand Engineers Limited,EQ
MUKANDLTD,Mukand Limited,EQ
MUKTAARTS,Mukta Arts Limited,EQ
MUNJALAU,Munjal Auto Industries Limited,EQ
MUNJALSHOW,Munjal Showa Limited,EQ
MURUDCERA,Murudeshwar Ceramics Limited,EQ
MUTHOOTCAP,Muthoot Capital Services Limited,EQ
MUTHOOTFIN,Muthoot Finance Limited,EQ
NACLIND,NACL Industries Limited,EQ
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ
NAGREEKEXP,Nagreeka Exports Limited,EQ
NAHARCAP,Nahar Capital and Financial Services Limited,EQ
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ
NAHARPOLY,Nahar Poly Films Limited,EQ
NAHARSPING,Nahar Spinning Mills Limited,BE
NAM-INDIA,Nippon Life India Asset Management Limited,EQ
NATCOPHARM,Natco Pharma Limited,EQ
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ
NATIONALUM,National Aluminium Company Limited,EQ
NATNLSTEEL,National Steel And Agro Industries Limited,BE
NAUKRI,Info Edge (India) Limited,EQ
NAVINFLUOR,Navin Fluorine International Limited,EQ
NAVKARCORP,Navkar Corporation Limited,EQ
NAVNETEDUL,Navneet Education Limited,EQ
NAZARA,Nazara Technologies Limited,BE
NBCC,NBCC (India) Limited,EQ
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ
NBVENTURES,Nava Bharat Ventures Limited,EQ
NCC,NCC Limited,EQ
NCLIND,NCL Industries Limited,EQ
NDGL,Naga Dhunseri Group Limited,EQ
NDL,Nandan Denim Limited,EQ
NDRAUTO,Ndr Auto Components Limited,EQ
NDTV,New Delhi Television Limited,EQ
NECCLTD,North Eastern Carrying Corporation Limited,EQ
NECLIFE,Nectar Lifesciences Limited,EQ
NELCAST,Nelcast Limited,EQ
NELCO,NELCO Limited,BE
NEOGEN,Neogen Chemicals Limited,EQ
NESCO,Nesco Limited,EQ
NESTLEIND,Nestle India Limited,EQ
NETWORK18,Network18 Media & Investments Limited,EQ
NEULANDLAB,Neuland Laboratories Limited,EQ
NEWGEN,Newgen Software Technologies Limited,EQ
NFL,National Fertilizers Limited,EQ
NGIL,Nakoda Group of Industries Limited,BE
NH,Narayana Hrudayalaya Ltd.,EQ
NHPC,NHPC Limited,EQ
NIACL,The New India Assurance Company Limited,EQ
NIBL,NRB Industrial Bearings Limited,EQ
NIITLTD,NIIT Limited,EQ
NILAINFRA,Nila Infrastructures Limited,BE
NILASPACES,Nila Spaces Limited,BE
NILKAMAL,Nilkamal Limited,EQ
NIPPOBATRY,Indo-National Limited,EQ
NIRAJ,Niraj Cement Structurals Limited,EQ
NIRAJISPAT,Niraj Ispat Industries Limited,BE
NITCO,Nitco Limited,EQ
NITINFIRE,Nitin Fire Protection Industries Limited,BZ
NITINSPIN,Nitin Spinners Limited,BE
NITIRAJ,Nitiraj Engineers Limited,BE
NKIND,NK Industries Limited,EQ
NLCINDIA,NLC India Limited,EQ
NMDC,NMDC Limited,EQ
NOCIL,NOCIL Limited,EQ
NOIDATOLL,Noida Toll Bridge Company Limited,EQ
NORBTEAEXP,Norben Tea & Exports Limited,EQ
NOVARTIND,Novartis India Limited,EQ
NRAIL,N R Agarwal Industries Limited,EQ
NRBBEARING,NRB Bearing Limited,EQ
NSIL,Nalwa Sons Investments Limited,EQ
NTL,Neueon Towers Limited,BE
NTPC,NTPC Limited,EQ
NUCLEUS,Nucleus Software Exports Limited,EQ
NURECA,Nureca Limited,EQ
NUVOCO,Nuvoco Vistas Corporation Limited,EQ
NXTDIGITAL,NXTDIGITAL LIMITED,EQ
NYKAA,FSN E-Commerce Ventures Limited,EQ
OAL,Oriental Aromatics Limited,EQ
OBEROIRLTY,Oberoi Realty Limited,EQ
OCCL,Oriental Carbon & Chemicals Limited,EQ
OFSS,Oracle Financial Services Software Limited,EQ
OIL,Oil India Limited,EQ
OILCOUNTUB,Oil Country Tubular Limited,BE
OLECTRA,Olectra Greentech Limited,BE
OMAXAUTO,Omax Autos Limited,EQ
OMAXE,Omaxe Limited,EQ
OMINFRAL,OM INFRA LIMITED,EQ
OMKARCHEM,Omkar Speciality Chemicals Limited,BE
ONELIFECAP,Onelife Capital Advisors Limited,EQ
ONEPOINT,One Point One Solutions Limited,BE
ONGC,Oil & Natural Gas Corporation Limited,EQ
ONMOBILE,OnMobile Global Limited,EQ
ONWARDTEC,Onward Technologies Limited,EQ
OPTIEMUS,Optiemus Infracom Limited,EQ
ORBTEXP,Orbit Exports Limited,EQ
ORCHPHARMA,Orchid Pharma Limited,BE
ORICONENT,Oricon Enterprises Limited,EQ
ORIENTABRA,Orient Abrasives Limited,EQ
ORIENTALTL,Oriental Trimex Limited,EQ
ORIENTBELL,Orient Bell Limited,EQ
ORIENTCEM,Orient Cement Limited,EQ
ORIENTELEC,Orient Electric Limited,EQ
ORIENTHOT,Oriental Hotels Limited,EQ
ORIENTLTD,Orient Press Limited,EQ
ORIENTPPR,Orient Paper & Industries Limited,EQ
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ
ORTEL,Ortel Communications Limited,BZ
ORTINLAB,Ortin Laboratories Limited,EQ
