SYMBOL,NAME OF COMPANY, SERIES
ASAL,Automotive Stampings and Assemblies Limited,BE
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ
ASHAPURMIN,Ashapura Minechem Limited,EQ
ASHIANA,Ashiana Housing Limited,EQ
ASHIMASYN,Ashima Limited,EQ
ASHOKA,Ashoka Buildcon Limited,EQ
ASHOKLEY,Ashok Leyland Limited,EQ
ASIANENE,Asian Energy Services Limited,EQ
ASIANHOTNR,Asian Hotels (North) Limited,EQ
ASIANPAINT,Asian Paints Limited,EQ
ASIANTILES,Asian Granito India Limited,EQ
ASPINWALL,Aspinwall and Company Limited,EQ
ASTEC,Astec LifeSciences Limited,EQ
ASTERDM,Aster DM Healthcare Limited,EQ
ASTRAL,Astral Limited,EQ
ASTRAMICRO,Astra Microwave Products Limited,EQ
ASTRAZEN,AstraZeneca Pharma India Limited,EQ
ASTRON,Astron Paper & Board Mill Limited,EQ
ATFL,Agro Tech Foods Limited,EQ
ATGL,Adani Total Gas Limited,BE
ATLANTA,Atlanta  Limited,BE
ATUL,Atul Limited,EQ
ATULAUTO,Atul Auto Limited,EQ
AUBANK,AU Small Finance Bank Limited,EQ
AURIONPRO,Aurionpro Solutions Limited,EQ
AUROPHARMA,Aurobindo Pharma Limited,EQ
AURUM,Aurum PropTech Limited,EQ
AUSOMENT,Ausom Enterprise Limited,EQ
AUTOAXLES,Automotive Axles Limited,EQ
AUTOIND,Autoline Industries Limited,EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ
AVANTIFEED,Avanti Feeds Limited,EQ
AVTNPL,AVT Natural Products Limited,EQ
AWHCL,Antony Waste Handling Cell Limited,EQ
AXISBANK,Axis Bank Limited,EQ
AXISCADES,AXISCADES Technologies Limited,EQ
AYMSYNTEX,AYM Syntex Limited,EQ
BAFNAPH,Bafna Pharmaceuticals Limited,EQ
BAGFILMS,B.A.G Films and Media Limited,BE
BAJAJ-AUTO,Bajaj Auto Limited,EQ
BAJAJCON,Bajaj Consumer Care Limited,EQ
BAJAJELEC,Bajaj Electricals Limited,EQ
BAJAJFINSV,Bajaj Finserv Limited,EQ
BAJAJHCARE,Bajaj Healthcare Limited,EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ
BAJFINANCE,Bajaj Finance Limited,EQ
BALAJITELE,Balaji Telefilms Limited,EQ
BALAMINES,Balaji Amines Limited,EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ
BALKRISHNA,Balkrishna Paper Mills Limited,EQ
BALKRISIND,Balkrishna Industries Limited,EQ
BALLARPUR,Ballarpur Industries Limited,BZ
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ
BALPHARMA,Bal Pharma Limited,EQ
BALRAMCHIN,Balrampur Chini Mills Limited,EQ
BANARBEADS,Banaras Beads Limited,EQ
BANARISUG,Bannari Amman Sugars Limited,EQ
BANCOINDIA,Banco Products (I) Limited,EQ
BANDHANBNK,Bandhan Bank Limited,EQ
BANG,Bang Overseas Limited,EQ
BANKA,Banka BioLoo Limited,EQ
BANKBARODA,Bank of Baroda,EQ
BANKINDIA,Bank of India,EQ
BANSWRAS,Banswara Syntex Limited,EQ
BARBEQUE,Barbeque Nation Hospitality Limited,EQ
BARTRONICS,Bartronics India Limited,BZ
BASF,BASF India Limited,EQ
BASML,Bannari Amman Spinning Mills Limited,EQ
BATAINDIA,Bata India Limited,EQ
BAYERCROP,Bayer Cropscience Limited,EQ
BBL,Bharat Bijlee Limited,EQ
BBOX,Black Box Limited,EQ
BBTC,Bombay Burmah Trading Corporation Limited,EQ
BCG,Brightcom Group Limited,BE
BCLIND,Bcl Industries Limited,EQ
BCP,B.C. Power Controls Ltd,EQ
BDL,Bharat Dynamics Limited,EQ
BEARDSELL,Beardsell Limited,EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ
BEDMUTHA,Bedmutha Industries Limited,EQ
BEL,Bharat Electronics Limited,EQ
BEML,BEML Limited,EQ
BEPL,Bhansali Engineering Polymers Limited,EQ
BERGEPAINT,Berger Paints (I) Limited,EQ
BESTAGRO,Best Agrolife Limited,EQ
BFINVEST,BF Investment Limited,EQ
BFUTILITIE,BF Utilities Limited,EQ
BGRENERGY,BGR Energy Systems Limited,EQ
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ
BHAGERIA,Bhageria Industries Limited,EQ
BHAGYANGR,Bhagyanagar India Limited,EQ
BHAGYAPROP,Bhagyanagar Properties Limited,EQ
BHANDARI,Bhandari Hosiery Exports Limited,EQ
BHARATFORG,Bharat Forge Limited,EQ
BHARATGEAR,Bharat Gears Limited,EQ
BHARATRAS,Bharat Rasayan Limited,EQ
BHARATWIRE,Bharat Wire Ropes Limited,EQ
BHARTIARTL,Bharti Airtel Limited,EQ
BHEL,Bharat Heavy Electricals Limited,EQ
BIGBLOC,Bigbloc Construction Limited,EQ
BIL,Bhartiya International Limited,EQ
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ
BIOCON,Biocon Limited,EQ
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ
BIRLACABLE,Birla Cable Limited,EQ
BIRLACORPN,Birla Corporation Limited,EQ
BIRLAMONEY,Aditya Birla Money Limited,EQ
BIRLATYRE,Birla Tyres Limited,EQ
BKMINDST,Bkm Industries Limited,BZ
BLBLIMITED,BLB Limited,EQ
BLISSGVS,Bliss GVS Pharma Limited,EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ
BLS,BLS International Services Limited,BE
BLUECHIP,Blue Chip India Limited,EQ
BLUECOAST,Blue Coast Hotels Limited,EQ
BLUEDART,Blue Dart Express Limited,EQ
BLUESTARCO,Blue Star Limited,EQ
BODALCHEM,Bodal Chemicals Limited,EQ
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ
BOROLTD,Borosil Limited,EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ
BOSCHLTD,Bosch Limited,EQ
BPCL,Bharat Petroleum Corporation Limited,EQ
BPL,BPL Limited,BE
BRFL,Bombay Rayon Fashions Limited,BZ
BRIGADE,Brigade Enterprises Limited,EQ
BRITANNIA,Britannia Industries Limited,EQ
BRNL,Bharat Road Network Limited,EQ
BROOKS,Brooks Laboratories Limited,EQ
BSE,BSE Limited,EQ
BSHSL,Bombay Super Hybrid Seeds Limited,EQ
BSL,BSL Limited,EQ
BSOFT,BIRLASOFT LIMITED,EQ
BURGERKING,Burger King India Limited,EQ
BURNPUR,Burnpur Cement Limited,EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BE
BVCL,Barak Valley Cements Limited,BE
BYKE,The Byke Hospitality Ltd,EQ
CADILAHC,Cadila Healthcare Limited,EQ
CALSOFT,California Software Company Limited,BE
CAMLINFINE,Camlin Fine Sciences Limited,EQ
CAMS,Computer Age Management Services Limited,EQ
CANBK,Canara Bank,EQ
CANDC,C & C Constructions Limited,BZ
CANFINHOME,Can Fin Homes Limited,EQ
CANTABIL,Cantabil Retail India Limited,BE
CAPACITE,Capacit'e Infraprojects Limited,EQ
CAPLIPOINT,Caplin Point Laboratories Limited,EQ
CAPTRUST,Capital Trust Limited,EQ
CARBORUNIV,Carborundum Universal Limited,EQ
CAREERP,Career Point Limited,EQ
CARERATING,CARE Ratings Limited,EQ
CARTRADE,Cartrade Tech Limited,EQ
CASTROLIND,Castrol India Limited,EQ
CCCL,Consolidated Construction Consortium Limited,EQ
CCHHL,Country Club Hospitality & Holidays Limited,EQ
CCL,CCL Products (India) Limited,EQ
CDSL,Central Depository Services (India) Limited,EQ
CEATLTD,CEAT Limited,EQ
CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ
CELEBRITY,Celebrity Fashions Limited,EQ
CENTENKA,Century Enka Limited,EQ
CENTEXT,Century Extrusions Limited,EQ
CENTRALBK,Central Bank of India,EQ
CENTRUM,Centrum Capital Limited,EQ
CENTUM,Centum Electronics Limited,EQ
CENTURYPLY,Century Plyboards (India) Limited,EQ
CENTURYTEX,Century Textiles & Industries Limited,EQ
CERA,Cera Sanitaryware Limited,EQ
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ
CESC,CESC Limited,EQ
CGCL,Capri Global Capital Limited,EQ
CGPOWER,CG Power and Industrial Solutions Limited,BE
CHALET,Chalet Hotels Limited,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ
CHEMBOND,Chembond Chemicals Ltd,EQ
CHEMCON,Chemcon Speciality Chemicals Limited,EQ
CHEMFAB,Chemfab Alkalis Limited,EQ
CHEMPLASTS,Chemplast Sanmar Limited,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ
CIGNITITEC,Cigniti Technologies Limited,EQ
CINELINE,Cineline India Limited,EQ
CINEVISTA,Cinevista Limited,BE
CIPLA,Cipla Limited,EQ
CLEAN,Clean Science and Technology Limited,EQ
CLEDUCATE,CL Educate Limited,BE
CLNINDIA,Clariant Chemicals (India) Limited,EQ
CLSEL,Chaman Lal Setia Exports Limited,EQ
CMICABLES,CMI Limited,EQ
COALINDIA,Coal India Limited,EQ
COASTCORP,Coastal Corporation Limited,EQ
COCHINSHIP,Cochin Shipyard Limited,EQ
COFFEEDAY,Coffee Day Enterprises Limited,EQ
COFORGE,Coforge Limited,EQ
COLPAL,Colgate Palmolive (India) Limited,EQ
COMPINFO,Compuage Infocom Limited,EQ
COMPUSOFT,Compucom Software Limited,EQ
CONCOR,Container Corporation of India Limited,EQ
CONFIPET,Confidence Petroleum India Limited,EQ
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ
CONTROLPR,Control Print Limited,EQ
CORALFINAC,Coral India Finance & Housing Limited,EQ
CORDSCABLE,Cords Cable Industries Limited,EQ
COROMANDEL,Coromandel International Limited,EQ
COSMOFILMS,Cosmo Films Limited,EQ
COUNCODOS,Country Condo's Limited,EQ
COX&KINGS,Cox & Kings Limited,BZ
