Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,3.16,3.45,3.45,3.45,3.45,3.58,CARTRADE
Reserves,,,,,960.12,1221.04,1229.33,1187.6,1205.5,1607.76,CARTRADE
Borrowings,,,,,,,,,4.56,4.58,CARTRADE
Other Liabilities,,,,,49.61,51.79,55.04,70.97,63.88,70.13,CARTRADE
Total,,,,,1012.89,1276.28,1287.82,1262.02,1277.39,1686.05,CARTRADE
Net Block,,,,,0.88,0.62,0.44,785.5,790.19,791.91,CARTRADE
Capital Work in Progress,,,,,,,,0.03,,0.13,CARTRADE
Investments,,,,,838.69,1083.35,1258.02,408.25,422.96,766.78,CARTRADE
Other Assets,,,,,173.32,192.31,29.36,68.24,64.24,127.23,CARTRADE
Total,,,,,1012.89,1276.28,1287.82,1262.02,1277.39,1686.05,CARTRADE
Receivables,,,,,8.26,4.87,3.33,26.77,31.45,30.58,CARTRADE
Inventory,,,,,,,,0.94,0.02,1.58,CARTRADE
Cash & Bank,,,,,5.36,1.58,4.7,14.34,10.47,13.33,CARTRADE
No. of Equity Shares,,,,,3156753.0,3449303.0,3449303.0,3449303.0,3449303.0,3584303.0,CARTRADE
New Bonus Shares,,,,,,,,,,,CARTRADE
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,CARTRADE
