Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,14.36,14.36,72.0,72.0,72.0,81.83,ANGELONE
Reserves,,,,,288.31,298.12,377.96,431.9,496.87,1020.25,ANGELONE
Borrowings,,,,,304.66,697.65,1065.37,866.19,487.73,1171.38,ANGELONE
Other Liabilities,,,,,321.54,531.12,756.79,798.97,1102.6,2508.76,ANGELONE
Total,,,,,928.87,1541.25,2272.12,2169.06,2159.2,4782.22,ANGELONE
Net Block,,,,,92.72,94.6,97.14,116.38,107.85,100.11,ANGELONE
Capital Work in Progress,,,,,3.09,0.64,,0.57,2.09,0.18,ANGELONE
Investments,,,,,100.97,100.97,94.79,94.92,95.18,82.98,ANGELONE
Other Assets,,,,,732.09,1345.04,2080.19,1957.19,1954.08,4598.95,ANGELONE
Total,,,,,928.87,1541.25,2272.12,2169.06,2159.2,4782.22,ANGELONE
Receivables,,,,,437.51,854.44,157.06,213.9,38.65,227.28,ANGELONE
Inventory,,,,,0.07,0.08,,,,,ANGELONE
Cash & Bank,,,,,260.83,453.87,875.94,948.15,1375.19,1851.05,ANGELONE
No. of Equity Shares,,,,,14364175.0,14364175.0,71995003.0,71995003.0,71995003.0,81826507.0,ANGELONE
New Bonus Shares,,,,,,,,,,,ANGELONE
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,ANGELONE
