Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,5.59,5.59,5.59,6.41,6.41,6.41,WINDLAS
Reserves,,,,,132.13,141.3,158.2,187.61,210.07,19.26,WINDLAS
Borrowings,,,,,50.03,59.53,39.6,29.91,27.43,3.23,WINDLAS
Other Liabilities,,,,,93.36,97.3,95.45,73.08,99.89,6.47,WINDLAS
Total,,,,,281.11,303.72,298.84,297.01,343.8,29.6,WINDLAS
Net Block,,,,,56.05,56.2,58.22,61.93,68.43,9.6,WINDLAS
Capital Work in Progress,,,,,9.15,15.14,10.51,4.58,,,WINDLAS
Investments,,,,,95.22,121.22,123.47,120.98,120.98,2.31,WINDLAS
Other Assets,,,,,120.69,111.16,106.64,109.52,154.39,17.69,WINDLAS
Total,,,,,281.11,303.72,298.84,297.01,343.8,29.6,WINDLAS
Receivables,,,,,55.22,60.69,59.47,62.26,64.56,7.94,WINDLAS
Inventory,,,,,27.1,39.9,26.51,19.03,49.32,4.15,WINDLAS
Cash & Bank,,,,,28.99,2.21,5.61,13.2,18.38,3.1,WINDLAS
No. of Equity Shares,,,,,5588236.0,5588236.0,5588236.0,6411063.0,6411063.0,,WINDLAS
New Bonus Shares,,,,,,,,,,,WINDLAS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,5.0,WINDLAS
