Report Date,2012-09-30 00:00:00,2013-09-30 00:00:00,2014-09-30 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,940.65,642.53,676.92,459.18,1085.96,1172.3,1519.97,1939.04,951.96,905.57,AUTOAXLES
Raw Material Cost,694.48,454.43,483.63,324.44,778.77,826.2,1078.95,1379.61,626.67,665.2,AUTOAXLES
Change in Inventory,22.35,0.96,15.65,-3.15,-2.5,0.36,16.12,34.75,-18.89,35.79,AUTOAXLES
Power and Fuel,21.19,17.15,17.59,9.01,18.68,19.36,26.82,31.65,15.79,14.84,AUTOAXLES
Other Mfr. Exp,69.54,49.17,56.12,36.55,83.12,102.53,130.75,162.93,80.06,74.3,AUTOAXLES
Employee Cost,56.24,52.85,60.98,36.99,79.88,81.45,99.43,123.64,89.24,88.91,AUTOAXLES
Selling and admin,10.42,11.85,14.91,12.19,19.94,20.64,23.02,25.7,18.31,23.31,AUTOAXLES
Other Expenses,8.64,4.06,2.31,1.43,6.96,8.89,10.06,21.17,9.71,8.96,AUTOAXLES
Other Income,1.27,1.63,5.52,2.52,0.52,2.02,4.52,2.96,5.7,3.3,AUTOAXLES
Depreciation,27.39,28.53,29.48,17.32,39.44,39.36,43.21,46.19,37.22,36.0,AUTOAXLES
Interest,9.8,8.52,7.21,4.14,5.66,1.23,0.55,0.55,1.81,2.97,AUTOAXLES
Profit before tax,66.57,18.56,25.86,16.48,51.53,75.02,127.82,185.31,59.96,30.17,AUTOAXLES
Tax,21.56,5.86,7.69,5.94,16.75,25.59,43.88,63.76,18.82,7.43,AUTOAXLES
Net profit,45.02,12.7,18.18,10.54,34.77,49.42,83.93,121.55,41.13,22.73,AUTOAXLES
