Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2020-06-30 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,19.64,49.95,73.17,74.72,81.34,LAGNAM
Expenses,,,,,,22.28,45.62,58.93,61.64,68.53,LAGNAM
Other Income,,,,,,,0.1,,,0.08,LAGNAM
Depreciation,,,,,,1.89,1.9,1.89,1.89,1.89,LAGNAM
Interest,,,,,,2.88,2.72,2.94,2.75,2.52,LAGNAM
Profit before tax,,,,,,-7.41,-0.19,9.41,8.44,8.48,LAGNAM
Tax,,,,,,,-1.34,3.12,2.31,2.31,LAGNAM
Net profit,,,,,,-7.41,1.15,6.28,6.13,6.17,LAGNAM
Operating Profit,,,,,,-2.64,4.33,14.24,13.08,12.81,LAGNAM
