Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,21.22,25.96,33.73,31.68,50.79,80.9,113.62,88.47,85.63,86.85,SERVOTECH
Raw Material Cost,16.07,17.83,23.78,23.28,34.15,57.94,93.61,64.37,70.45,77.67,SERVOTECH
Change in Inventory,,-0.93,-0.09,1.99,-0.37,0.61,3.06,-3.05,0.99,3.35,SERVOTECH
Power and Fuel,0.04,0.08,0.1,0.1,0.11,0.13,0.15,0.17,0.14,0.09,SERVOTECH
Other Mfr. Exp,0.49,1.13,1.59,1.8,5.79,3.66,2.15,3.47,1.1,1.4,SERVOTECH
Employee Cost,0.28,2.84,3.45,3.1,3.39,6.46,6.74,6.67,4.61,4.01,SERVOTECH
Selling and admin,3.06,1.42,2.19,2.27,3.01,4.78,6.36,3.27,7.74,3.62,SERVOTECH
Other Expenses,0.13,0.28,0.27,0.25,-0.1,0.28,0.19,0.51,-1.77,-0.87,SERVOTECH
Other Income,0.41,0.37,0.24,0.46,0.43,2.2,0.95,0.59,0.45,0.67,SERVOTECH
Depreciation,0.16,0.27,0.25,0.62,0.68,0.87,0.85,0.98,0.89,0.96,SERVOTECH
Interest,0.77,0.97,1.61,1.89,2.53,2.03,2.07,2.39,2.77,2.77,SERVOTECH
Profit before tax,0.63,0.58,0.64,0.82,1.29,7.56,5.51,4.18,1.14,1.22,SERVOTECH
Tax,-0.19,0.24,0.4,0.38,0.68,2.55,1.57,1.17,0.32,0.3,SERVOTECH
Net profit,0.83,0.34,0.24,0.43,0.61,5.0,3.95,3.0,0.81,0.92,SERVOTECH
