Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,255.27,514.26,599.36,603.53,698.7,998.63,874.71,827.11,818.48,APEX
Raw Material Cost,,195.27,417.23,474.98,460.32,535.94,740.85,585.64,651.31,530.3,APEX
Change in Inventory,,14.39,28.69,-0.24,9.29,4.24,37.77,4.69,77.77,-22.85,APEX
Power and Fuel,,2.59,4.59,5.61,6.52,6.63,9.96,9.64,10.41,15.19,APEX
Other Mfr. Exp,,21.15,30.67,35.12,50.45,61.71,88.25,79.42,67.62,75.8,APEX
Employee Cost,,10.44,22.65,25.81,23.28,24.92,38.92,48.21,43.71,39.81,APEX
Selling and admin,,15.64,34.76,24.57,31.64,28.75,47.02,65.51,43.03,50.91,APEX
Other Expenses,,2.36,0.54,0.14,0.24,0.63,1.36,1.35,1.8,-7.32,APEX
Other Income,,0.21,0.34,5.07,4.74,10.57,19.87,21.46,18.99,7.53,APEX
Depreciation,,2.54,4.51,0.4,4.93,6.27,8.65,10.86,14.59,21.95,APEX
Interest,,5.6,7.95,9.61,10.41,11.22,8.7,6.55,10.64,15.92,APEX
Profit before tax,,14.28,20.39,27.95,29.77,37.44,112.56,93.68,80.76,60.6,APEX
Tax,,4.86,6.96,9.59,10.49,12.31,33.45,32.88,20.12,16.31,APEX
Net profit,,9.42,13.42,18.36,19.28,25.13,79.1,60.8,60.64,44.29,APEX
