Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.96,3.0,9.0,10.12,15.06,15.06,15.06,ACCURACY
Reserves,,,,2.13,3.46,4.79,15.02,54.45,58.32,66.77,ACCURACY
Borrowings,,,,10.43,24.31,23.92,50.19,65.91,76.35,89.3,ACCURACY
Other Liabilities,,,,14.74,13.63,22.06,17.7,26.32,26.9,24.31,ACCURACY
Total,,,,28.26,44.4,59.77,93.03,161.74,176.63,195.44,ACCURACY
Net Block,,,,8.82,22.29,18.52,38.79,59.51,50.5,55.2,ACCURACY
Capital Work in Progress,,,,,,3.45,5.37,,3.19,,ACCURACY
Investments,,,,,,,,0.13,0.13,0.13,ACCURACY
Other Assets,,,,19.44,22.11,37.8,48.87,102.1,122.81,140.11,ACCURACY
Total,,,,28.26,44.4,59.77,93.03,161.74,176.63,195.44,ACCURACY
Receivables,,,,13.02,15.81,25.15,35.08,84.18,97.15,104.74,ACCURACY
Inventory,,,,,,,0.34,0.36,0.72,0.71,ACCURACY
Cash & Bank,,,,0.18,0.2,0.65,1.1,1.45,0.67,4.85,ACCURACY
No. of Equity Shares,,,,956000.0,3000000.0,9000000.0,10120000.0,15056000.0,15056000.0,15056000.0,ACCURACY
New Bonus Shares,,,,,,,,,,,ACCURACY
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ACCURACY
