Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,237.81,209.54,183.03,235.04,106.66,223.75,244.92,281.85,289.09,351.5,TIRUMALCHM
Expenses,209.62,191.95,173.45,216.05,109.1,181.18,186.87,191.37,226.49,308.17,TIRUMALCHM
Other Income,2.34,7.01,3.52,9.15,3.13,1.89,2.4,2.28,2.48,5.24,TIRUMALCHM
Depreciation,3.8,5.31,5.84,6.23,6.22,6.42,6.44,6.13,6.89,8.49,TIRUMALCHM
Interest,2.88,3.4,4.23,5.03,4.94,4.19,4.46,5.28,4.01,4.65,TIRUMALCHM
Profit before tax,23.85,15.89,3.03,16.88,-10.47,33.85,49.55,81.35,54.18,35.43,TIRUMALCHM
Tax,8.32,5.19,1.74,3.53,-3.37,11.43,18.12,10.49,13.54,9.61,TIRUMALCHM
Net profit,15.53,10.7,1.29,13.35,-7.1,22.42,31.43,70.86,40.64,25.82,TIRUMALCHM
Operating Profit,28.19,17.59,9.58,18.99,-2.44,42.57,58.05,90.48,62.6,43.33,TIRUMALCHM
