Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,5.95,5.95,NDRAUTO
Reserves,,,,,,,,,126.68,133.67,NDRAUTO
Borrowings,,,,,,,,,0.38,4.44,NDRAUTO
Other Liabilities,,,,,,,,,19.35,40.28,NDRAUTO
Total,,,,,,,,,152.36,184.34,NDRAUTO
Net Block,,,,,,,,,33.44,41.05,NDRAUTO
Capital Work in Progress,,,,,,,,,,3.22,NDRAUTO
Investments,,,,,,,,,1.66,1.66,NDRAUTO
Other Assets,,,,,,,,,117.26,138.41,NDRAUTO
Total,,,,,,,,,152.36,184.34,NDRAUTO
Receivables,,,,,,,,,6.06,31.11,NDRAUTO
Inventory,,,,,,,,,6.9,12.39,NDRAUTO
Cash & Bank,,,,,,,,,96.1,85.49,NDRAUTO
No. of Equity Shares,,,,,,,,,5946326.0,5946326.0,NDRAUTO
New Bonus Shares,,,,,,,,,,,NDRAUTO
Face value,,,,,,,,,10.0,10.0,NDRAUTO
