Report Date,Unnamed: 1,Unnamed: 2,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,359.32,460.16,534.52,610.6,748.71,799.18,771.87,626.18,KHADIM
Raw Material Cost,,,266.25,316.06,322.89,383.39,469.62,525.23,507.67,416.77,KHADIM
Change in Inventory,,,31.96,3.69,-13.07,11.94,4.31,28.77,16.45,-29.09,KHADIM
Power and Fuel,,,5.7,9.53,9.79,11.45,13.34,16.61,17.91,15.25,KHADIM
Other Mfr. Exp,,,9.41,10.7,15.59,12.7,26.27,31.13,34.1,30.0,KHADIM
Employee Cost,,,30.59,46.07,45.28,55.23,65.17,72.06,73.27,60.81,KHADIM
Selling and admin,,,35.98,65.96,73.03,81.86,97.34,120.17,115.02,64.04,KHADIM
Other Expenses,,,5.05,3.61,1.95,11.26,2.74,3.62,5.49,3.17,KHADIM
Other Income,,,2.62,7.37,3.74,4.21,8.1,6.34,5.77,15.87,KHADIM
Depreciation,,,6.94,19.18,16.29,15.66,15.62,18.43,41.94,39.24,KHADIM
Interest,,,17.41,19.22,14.55,14.67,14.06,13.83,32.72,26.8,KHADIM
Profit before tax,,,16.57,-19.11,25.82,40.53,56.96,33.21,-34.03,-43.12,KHADIM
Tax,,,5.6,-0.45,0.58,9.9,19.07,12.04,-2.81,-10.21,KHADIM
Net profit,,,10.97,-18.66,25.24,30.64,37.9,21.17,-31.22,-32.92,KHADIM
