Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,20.0,20.0,40.0,40.0,160.0,160.0,160.0,IRCTC
Reserves,,,,424.25,522.07,746.56,914.53,911.02,1153.82,1306.95,IRCTC
Borrowings,,,,,,,,,,,IRCTC
Other Liabilities,,,,717.86,894.98,1039.89,1364.58,1523.22,1927.67,1699.09,IRCTC
Total,,,,1162.11,1437.05,1826.45,2319.11,2594.24,3241.49,3166.04,IRCTC
Net Block,,,,155.32,158.61,170.4,189.82,182.25,284.69,309.96,IRCTC
Capital Work in Progress,,,,16.48,14.19,16.83,7.65,40.38,16.21,24.3,IRCTC
Investments,,,,,,,,,,,IRCTC
Other Assets,,,,990.31,1264.25,1639.22,2121.64,2371.61,2940.59,2831.78,IRCTC
Total,,,,1162.11,1437.05,1826.45,2319.11,2594.24,3241.49,3166.04,IRCTC
Receivables,,,,148.98,162.11,289.4,550.92,587.45,777.93,540.05,IRCTC
Inventory,,,,9.54,8.26,6.58,7.41,7.89,9.76,6.54,IRCTC
Cash & Bank,,,,354.08,617.88,852.96,833.87,1140.04,1296.43,1460.5,IRCTC
No. of Equity Shares,,,,20000000.0,20000000.0,40000000.0,40000000.0,160000000.0,160000000.0,160000000.0,IRCTC
New Bonus Shares,,,,,,20000000.0,,120000000.0,,,IRCTC
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,IRCTC
