Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,0.59,1.89,4.8,14.19,18.85,20.8,36.08,43.53,45.69,JAIPURKURT
Raw Material Cost,,0.33,0.77,2.21,5.62,4.21,13.37,14.58,19.22,16.44,JAIPURKURT
Change in Inventory,,0.11,0.2,0.1,0.98,0.33,4.52,3.63,5.32,-2.25,JAIPURKURT
Power and Fuel,,,,,,0.01,0.1,0.11,0.14,0.14,JAIPURKURT
Other Mfr. Exp,,,,,2.33,2.96,4.87,10.27,9.43,7.33,JAIPURKURT
Employee Cost,,0.01,0.27,0.8,0.32,0.53,1.23,1.47,1.76,1.49,JAIPURKURT
Selling and admin,,,,,6.0,10.26,16.93,9.15,15.59,13.58,JAIPURKURT
Other Expenses,,0.36,1.01,1.78,0.04,0.06,-13.26,1.35,0.09,0.85,JAIPURKURT
Other Income,,,,0.02,,0.04,-0.01,0.05,0.16,0.36,JAIPURKURT
Depreciation,,,,0.01,0.02,0.1,0.29,0.43,0.34,0.34,JAIPURKURT
Interest,,,0.02,0.07,0.19,0.28,0.55,0.96,1.36,1.22,JAIPURKURT
Profit before tax,,,0.02,0.05,0.65,0.81,1.23,1.44,1.08,2.41,JAIPURKURT
Tax,,,0.01,0.02,0.2,0.28,0.36,0.41,0.34,0.64,JAIPURKURT
Net profit,,,0.01,0.03,0.45,0.53,0.87,1.02,0.74,1.78,JAIPURKURT
