Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,7797.42,9006.26,6105.58,5092.61,6174.33,7754.41,10300.34,9854.25,GUJGASLTD
Raw Material Cost,,,6808.47,7477.52,4914.12,3838.04,4678.61,6084.0,7881.62,6991.09,GUJGASLTD
Change in Inventory,,,0.76,-0.48,-0.31,0.13,0.62,1.05,-0.16,1.33,GUJGASLTD
Power and Fuel,,,45.12,52.09,60.36,59.31,71.7,78.03,88.1,75.14,GUJGASLTD
Other Mfr. Exp,,,166.05,172.0,184.43,218.72,270.01,300.78,336.77,343.29,GUJGASLTD
Employee Cost,,,99.45,115.19,132.68,133.06,144.08,165.08,181.83,183.26,GUJGASLTD
Selling and admin,,2.2,73.46,65.36,73.68,77.96,89.9,120.57,148.62,128.92,GUJGASLTD
Other Expenses,,0.01,24.43,11.44,1.22,3.55,7.66,10.4,14.55,25.1,GUJGASLTD
Other Income,,2.27,107.41,101.3,9.97,16.56,27.87,92.99,82.02,70.62,GUJGASLTD
Depreciation,,,282.64,237.68,245.42,257.33,271.82,288.01,317.98,340.84,GUJGASLTD
Interest,,3.24,313.77,334.36,249.62,218.0,206.2,207.73,204.95,133.86,GUJGASLTD
Profit before tax,,-3.18,92.2,641.44,253.71,303.33,462.84,593.85,1207.78,1704.7,GUJGASLTD
Tax,,0.69,63.77,197.86,65.38,83.83,171.48,176.82,14.46,429.2,GUJGASLTD
Net profit,,-3.87,28.43,443.58,188.33,219.5,291.36,417.03,1193.32,1275.5,GUJGASLTD
