Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2011-03-31 00:00:00,2012-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,6.01,80.32,140.87,136.77,148.42,630.92,RAJMET
Raw Material Cost,,,,,,,135.56,133.26,150.14,607.41,RAJMET
Change in Inventory,,,,,,,-0.83,2.37,9.32,-4.35,RAJMET
Power and Fuel,,,,,,,0.02,0.03,0.4,1.47,RAJMET
Other Mfr. Exp,,,,,,,0.01,0.01,0.71,4.33,RAJMET
Employee Cost,,,,,,,0.56,0.89,1.4,1.89,RAJMET
Selling and admin,,,,,,,0.06,0.24,0.94,0.49,RAJMET
Other Expenses,,,,,5.98,79.82,0.75,1.32,0.19,0.3,RAJMET
Other Income,,,,,,,0.28,0.1,0.43,0.86,RAJMET
Depreciation,,,,,,,0.13,0.14,0.31,0.84,RAJMET
Interest,,,,,,,1.82,1.81,2.46,3.66,RAJMET
Profit before tax,,,,,0.03,0.5,1.41,1.54,1.62,7.04,RAJMET
Tax,,,,,0.01,0.16,0.47,0.5,0.46,1.98,RAJMET
Net profit,,,,,0.02,0.35,0.94,1.05,1.16,5.07,RAJMET
