Report Date,Unnamed: 1,Unnamed: 2,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,LATENTVIEW
Reserves,,,10.13,23.82,51.93,100.46,156.23,204.39,256.34,324.69,LATENTVIEW
Borrowings,,,4.8,5.8,4.19,2.51,0.79,,,,LATENTVIEW
Other Liabilities,,,0.94,2.33,14.68,15.51,9.99,7.58,36.06,36.68,LATENTVIEW
Total,,,16.67,32.75,71.6,119.28,167.82,212.78,293.21,362.18,LATENTVIEW
Net Block,,,1.9,7.06,8.54,6.6,4.89,3.66,32.52,28.12,LATENTVIEW
Capital Work in Progress,,,,0.51,,,,,,,LATENTVIEW
Investments,,,2.81,11.78,15.27,65.55,83.42,98.35,72.62,139.74,LATENTVIEW
Other Assets,,,11.96,13.4,47.79,47.13,79.51,110.77,188.07,194.32,LATENTVIEW
Total,,,16.67,32.75,71.6,119.28,167.82,212.78,293.21,362.18,LATENTVIEW
Receivables,,,0.95,2.2,14.88,9.85,30.97,22.62,20.95,38.7,LATENTVIEW
Inventory,,,,,,,,,,,LATENTVIEW
Cash & Bank,,,5.72,6.57,18.27,14.67,16.69,51.6,87.89,97.01,LATENTVIEW
No. of Equity Shares,,,8000000.0,8000000.0,8000000.0,8000000.0,8077000.0,8080000.0,8113325.0,8135075.0,LATENTVIEW
New Bonus Shares,,,,,,,,,,,LATENTVIEW
Face value,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LATENTVIEW
