Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.1,0.1,0.1,0.1,0.1,13.4,18.27,27.4,27.4,SIRCA
Reserves,,3.11,4.46,13.05,20.33,34.03,54.23,149.58,157.25,174.19,SIRCA
Borrowings,,1.84,9.01,11.81,10.68,3.85,5.0,0.22,0.08,13.2,SIRCA
Other Liabilities,,4.15,6.58,8.46,13.96,23.33,21.93,22.72,25.1,39.96,SIRCA
Total,,9.2,20.15,33.42,45.07,61.31,94.56,190.79,209.83,254.75,SIRCA
Net Block,,0.95,2.41,2.14,2.23,7.72,20.0,25.18,50.31,40.67,SIRCA
Capital Work in Progress,,,,,,,,8.7,,1.86,SIRCA
Investments,,0.01,2.47,2.14,2.65,2.14,,,,,SIRCA
Other Assets,,8.24,15.27,29.14,40.19,51.45,74.56,156.91,159.52,212.22,SIRCA
Total,,9.2,20.15,33.42,45.07,61.31,94.56,190.79,209.83,254.75,SIRCA
Receivables,,5.41,8.89,11.15,15.98,24.0,33.53,39.71,45.59,43.05,SIRCA
Inventory,,1.0,2.79,3.54,6.04,10.15,14.85,26.77,51.45,64.95,SIRCA
Cash & Bank,,0.34,1.41,12.73,14.93,13.33,14.65,81.54,49.86,78.81,SIRCA
No. of Equity Shares,,100000.0,100000.0,100000.0,100000.0,100000.0,13400000.0,18269600.0,27404400.0,27404400.0,SIRCA
New Bonus Shares,,,,,,,,,,,SIRCA
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SIRCA
