Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,867.51,915.97,877.37,623.51,9.74,8.74,39.01,168.23,46.53,107.75,PVR
Expenses,591.1,601.5,570.96,455.32,123.65,93.74,114.09,223.78,138.58,176.57,PVR
Other Income,6.59,7.6,10.23,18.44,41.99,71.57,276.29,82.9,34.46,156.3,PVR
Depreciation,123.81,137.1,132.91,139.24,142.07,139.63,139.61,142.18,140.01,145.13,PVR
Interest,131.34,111.04,121.84,115.62,122.98,121.75,125.9,122.84,122.65,122.47,PVR
Profit before tax,27.85,73.93,61.89,-68.23,-336.97,-274.81,-64.3,-237.67,-320.25,-180.12,PVR
Tax,10.19,25.31,22.39,7.39,-115.72,-94.17,-23.02,42.66,-104.73,-31.78,PVR
Net profit,17.66,48.62,39.5,-75.62,-221.25,-180.64,-41.28,-280.33,-215.52,-148.34,PVR
Operating Profit,276.41,314.47,306.41,168.19,-113.91,-85.0,-75.08,-55.55,-92.05,-68.82,PVR
