Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2100.49,2509.59,2595.15,2830.09,2053.29,2173.5,2934.81,3587.51,2973.64,3215.86,PRAKASH
Raw Material Cost,1398.2,1747.68,1785.83,1967.81,1454.15,1492.7,1841.16,2137.35,1956.42,2314.8,PRAKASH
Change in Inventory,4.49,10.59,17.18,14.4,-5.97,10.52,-6.28,9.33,-15.68,18.09,PRAKASH
Power and Fuel,68.99,82.49,84.68,93.83,108.46,116.19,124.07,238.76,187.28,145.89,PRAKASH
Other Mfr. Exp,128.12,175.26,169.58,156.62,91.84,95.16,111.67,148.35,151.63,159.05,PRAKASH
Employee Cost,89.36,110.75,122.37,149.25,144.01,155.01,196.15,212.21,241.92,229.85,PRAKASH
Selling and admin,50.51,64.1,63.01,64.38,50.39,53.66,55.87,55.55,30.84,38.84,PRAKASH
Other Expenses,4.12,13.68,11.2,2.7,8.18,7.12,16.04,16.4,41.02,30.96,PRAKASH
Other Income,2.46,2.46,3.52,-241.34,4.36,2.23,14.81,0.5,6.95,8.06,PRAKASH
Depreciation,78.25,106.37,117.76,98.49,101.81,103.03,120.94,133.98,144.87,153.77,PRAKASH
Interest,13.86,55.33,57.83,60.73,69.45,74.98,89.1,102.09,92.74,73.52,PRAKASH
Profit before tax,276.03,166.98,203.59,9.34,23.39,88.4,388.34,552.65,118.19,95.33,PRAKASH
Tax,7.87,2.09,30.43,,0.01,7.4,2.09,13.43,,,PRAKASH
Net profit,268.16,164.89,173.16,9.34,23.38,81.0,386.25,539.22,118.19,95.33,PRAKASH
