Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,425.86,461.97,609.61,554.42,496.3,531.54,522.84,548.51,393.05,148.1,PATSPINLTD
Raw Material Cost,333.04,343.83,457.39,404.67,342.5,334.44,366.84,394.24,264.64,70.28,PATSPINLTD
Change in Inventory,3.84,-10.53,16.75,-3.03,4.78,3.98,-7.39,3.55,-23.52,-8.31,PATSPINLTD
Power and Fuel,28.46,28.42,39.34,42.68,42.73,34.49,39.35,43.51,39.31,30.29,PATSPINLTD
Other Mfr. Exp,13.2,8.34,15.46,19.07,13.18,57.76,21.47,21.1,14.86,6.73,PATSPINLTD
Employee Cost,18.39,18.33,26.33,29.43,31.39,33.88,35.49,35.8,34.41,28.03,PATSPINLTD
Selling and admin,13.6,18.38,19.8,19.09,16.58,16.92,15.12,14.51,10.41,4.35,PATSPINLTD
Other Expenses,11.84,8.85,9.48,2.56,6.19,4.04,6.63,8.89,6.78,4.31,PATSPINLTD
Other Income,0.84,0.83,0.64,1.15,1.02,5.79,10.29,2.5,2.39,0.37,PATSPINLTD
Depreciation,20.14,20.32,18.99,12.43,12.19,11.89,10.44,10.33,10.35,10.21,PATSPINLTD
Interest,28.09,29.04,34.64,30.83,36.77,34.76,33.08,29.23,27.33,23.92,PATSPINLTD
Profit before tax,-36.22,-23.24,5.57,-8.22,0.57,13.13,-2.68,-3.05,-36.17,-37.96,PATSPINLTD
Tax,-12.67,-7.42,1.32,-1.75,-0.21,3.12,1.66,-0.69,-12.15,,PATSPINLTD
Net profit,-23.55,-15.82,4.25,-6.48,0.78,10.01,-4.35,-2.36,-24.02,-37.96,PATSPINLTD
