Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,3832.95,4697.47,5202.88,5500.21,6758.69,7940.12,8806.91,8736.36,POLYCAB
Raw Material Cost,,,3014.4,3584.89,3867.71,4356.52,5008.14,5787.14,6301.68,6322.2,POLYCAB
Change in Inventory,,,18.51,119.33,58.66,219.35,-70.21,105.68,236.87,-70.19,POLYCAB
Power and Fuel,,,56.38,75.78,81.87,84.57,89.31,107.12,127.34,115.19,POLYCAB
Other Mfr. Exp,,,160.31,309.68,307.12,239.51,194.32,429.29,569.16,351.4,POLYCAB
Employee Cost,,,113.94,159.62,203.89,226.66,256.15,297.52,362.15,349.76,POLYCAB
Selling and admin,,,127.46,187.29,248.24,271.73,341.06,362.21,437.8,376.3,POLYCAB
Other Expenses,,,99.82,65.5,59.12,63.27,75.67,114.04,127.57,60.45,POLYCAB
Other Income,,,7.55,5.39,32.06,75.28,67.13,63.95,92.36,119.72,POLYCAB
Depreciation,,,63.3,97.49,111.12,127.42,131.97,140.07,159.09,174.01,POLYCAB
Interest,,,90.46,107.67,147.35,65.22,92.17,115.77,47.9,41.12,POLYCAB
Profit before tax,,,132.94,234.27,267.18,359.94,566.82,756.59,1003.45,995.46,POLYCAB
Tax,,,47.51,77.18,80.72,127.63,208.43,255.15,242.5,164.13,POLYCAB
Net profit,,,85.43,157.1,186.47,232.31,358.39,501.44,760.95,831.33,POLYCAB
