Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,48.76,48.76,48.76,48.76,48.76,48.76,48.76,48.76,48.79,CAMS
Reserves,,150.1,168.64,232.1,250.19,312.69,363.99,343.4,436.71,409.69,CAMS
Borrowings,,,,,,,,,,,CAMS
Other Liabilities,,50.15,62.32,79.24,94.09,91.14,127.56,170.42,229.93,319.15,CAMS
Total,,249.01,279.72,360.1,393.04,452.59,540.31,562.58,715.4,777.63,CAMS
Net Block,,27.47,28.17,62.94,56.46,61.92,79.75,87.2,157.81,143.53,CAMS
Capital Work in Progress,,,,,,,,,,,CAMS
Investments,,141.51,184.18,232.47,274.74,305.5,331.87,322.84,396.96,362.24,CAMS
Other Assets,,80.03,67.37,64.69,61.84,85.17,128.69,152.54,160.63,271.86,CAMS
Total,,249.01,279.72,360.1,393.04,452.59,540.31,562.58,715.4,777.63,CAMS
Receivables,,27.8,3.89,1.27,7.81,9.15,14.63,18.04,26.24,24.14,CAMS
Inventory,,,,,,,,,,,CAMS
Cash & Bank,,26.17,26.16,10.09,6.02,8.9,18.72,34.18,39.44,142.1,CAMS
No. of Equity Shares,,48760000.0,48760000.0,48760000.0,48760000.0,48760000.0,48760000.0,48760000.0,48760000.0,48791038.0,CAMS
New Bonus Shares,,,,,,,,,,,CAMS
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CAMS
