Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,683.72,793.22,944.19,1072.34,555.12,145.14,45.64,42.99,32.5,24.47,PRAKASHSTL
Raw Material Cost,572.32,753.94,867.27,1010.72,494.99,155.47,29.46,25.71,21.32,18.67,PRAKASHSTL
Change in Inventory,-2.05,63.18,32.96,59.86,-67.96,-24.01,-7.88,-1.32,1.5,-0.89,PRAKASHSTL
Power and Fuel,2.96,3.27,3.17,3.55,1.32,0.4,0.34,0.42,0.43,0.38,PRAKASHSTL
Other Mfr. Exp,19.34,25.27,12.21,18.14,6.89,3.45,1.84,2.38,2.43,2.18,PRAKASHSTL
Employee Cost,9.19,10.58,10.01,10.63,6.6,3.34,2.43,2.08,2.07,2.01,PRAKASHSTL
Selling and admin,12.58,12.77,-1.17,17.54,8.1,3.03,2.14,2.03,1.95,2.11,PRAKASHSTL
Other Expenses,13.01,2.42,22.29,4.53,4.46,1.17,0.41,6.31,2.16,0.46,PRAKASHSTL
Other Income,5.54,9.52,5.35,1.86,-8.84,-91.35,-246.53,13.45,-2.41,48.27,PRAKASHSTL
Depreciation,6.51,7.24,8.09,11.36,7.82,3.32,2.83,2.36,2.02,1.52,PRAKASHSTL
Interest,24.45,29.85,35.32,36.19,28.68,11.06,0.05,0.03,0.05,0.22,PRAKASHSTL
Profit before tax,26.85,20.58,25.31,21.4,-80.54,-151.46,-248.27,13.8,-0.84,44.3,PRAKASHSTL
Tax,9.91,6.56,8.76,7.34,0.91,0.09,-7.5,0.05,-0.6,-6.46,PRAKASHSTL
Net profit,16.94,14.03,16.55,14.06,-81.44,-151.56,-240.76,13.74,-0.24,50.76,PRAKASHSTL
