Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,60.39,71.76,81.01,81.01,85.97,173.51,173.54,CSBBANK
Reserves,,,,828.1,821.03,918.34,808.02,694.38,1787.16,2006.69,CSBBANK
Borrowings,,,,14519.94,14480.2,14953.36,14732.45,15123.87,16584.68,20565.96,CSBBANK
Other Liabilities,,,,351.29,278.95,270.53,248.57,1006.94,318.88,591.16,CSBBANK
Total,,,,15759.72,15651.94,16223.24,15870.05,16911.16,18864.23,23337.35,CSBBANK
Net Block,,,,175.11,215.09,215.26,216.12,217.73,253.48,269.49,CSBBANK
Capital Work in Progress,,,,,,,,,,,CSBBANK
Investments,,,,4427.08,5986.69,5761.52,4113.95,4027.61,5359.84,6125.99,CSBBANK
Other Assets,,,,11157.53,9450.16,10246.46,11539.98,12665.82,13250.91,16941.87,CSBBANK
Total,,,,15759.72,15651.94,16223.24,15870.05,16911.16,18864.23,23337.35,CSBBANK
Receivables,,,,,,,,,,,CSBBANK
Inventory,,,,,,,,,,,CSBBANK
Cash & Bank,,,,798.59,726.29,1211.15,1215.13,973.63,939.34,1714.07,CSBBANK
No. of Equity Shares,,,,71901725.0,71901725.0,81155825.0,81155825.0,100987955.0,173649570.0,173679570.0,CSBBANK
New Bonus Shares,,,,,,,,,,,CSBBANK
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CSBBANK
