Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.05,10.74,10.74,10.74,10.74,10.74,10.74,10.74,BALKRISHNA
Reserves,,,,47.82,64.37,38.39,-1.85,-43.99,-78.68,-104.52,BALKRISHNA
Borrowings,,,,89.24,81.98,81.0,103.97,120.36,92.8,108.22,BALKRISHNA
Other Liabilities,,,,38.82,49.73,75.23,97.1,120.57,171.13,200.09,BALKRISHNA
Total,,,0.05,186.62,206.82,205.36,209.96,207.68,195.99,214.53,BALKRISHNA
Net Block,,,,79.33,77.24,156.05,155.16,149.39,145.66,139.33,BALKRISHNA
Capital Work in Progress,,,,65.1,80.17,4.44,1.13,3.02,0.83,0.89,BALKRISHNA
Investments,,,,1.0,12.1,,,,,,BALKRISHNA
Other Assets,,,0.05,41.19,37.31,44.87,53.67,55.27,49.5,74.31,BALKRISHNA
Total,,,0.05,186.62,206.82,205.36,209.96,207.68,195.99,214.53,BALKRISHNA
Receivables,,,,14.78,10.4,13.91,16.32,15.74,11.37,10.95,BALKRISHNA
Inventory,,,,16.59,13.3,16.24,25.82,28.18,26.15,22.69,BALKRISHNA
Cash & Bank,,,0.05,0.36,3.59,0.11,0.2,0.22,0.21,31.39,BALKRISHNA
No. of Equity Shares,,,50000.0,10739844.0,10739844.0,10739844.0,10739844.0,10739844.0,10739844.0,10739844.0,BALKRISHNA
New Bonus Shares,,,,,,,,,,,BALKRISHNA
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,BALKRISHNA
