Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,1.71,2.48,2.48,2.66,7.98,7.98,11.23,11.23,11.23,RPPL
Reserves,,19.75,20.85,20.82,28.69,31.38,39.01,80.63,89.21,96.91,RPPL
Borrowings,,0.91,12.32,25.13,29.38,25.09,20.57,15.0,8.46,16.73,RPPL
Other Liabilities,,4.26,4.29,8.67,15.28,17.13,18.07,17.29,14.99,41.29,RPPL
Total,,26.63,39.94,57.1,76.01,81.58,85.63,124.15,123.89,166.16,RPPL
Net Block,,4.43,7.19,33.92,37.69,46.7,44.63,44.37,45.66,82.94,RPPL
Capital Work in Progress,,,2.91,4.48,0.38,,,0.18,3.98,2.35,RPPL
Investments,,0.93,2.63,0.44,0.25,0.3,0.35,0.05,0.07,0.1,RPPL
Other Assets,,21.27,27.21,18.26,37.69,34.58,40.65,79.55,74.18,80.77,RPPL
Total,,26.63,39.94,57.1,76.01,81.58,85.63,124.15,123.89,166.16,RPPL
Receivables,,4.59,5.64,5.65,14.04,12.68,20.45,20.77,22.81,27.42,RPPL
Inventory,,3.11,3.1,6.13,7.34,12.99,11.01,12.99,12.73,20.01,RPPL
Cash & Bank,,12.53,7.65,0.59,9.27,1.02,3.29,34.97,26.8,25.34,RPPL
No. of Equity Shares,,1889072.0,2478700.0,2478700.0,2658687.0,7976061.0,7976061.0,11234000.0,11234000.0,11234000.0,RPPL
New Bonus Shares,,,,,,,5317000.0,,,,RPPL
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,RPPL
