Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,10.0,10.0,9.48,9.48,9.48,9.48,12.19,PRICOLLTD
Reserves,,,,38.35,47.29,826.12,869.79,630.74,419.78,511.33,PRICOLLTD
Borrowings,,,,8.94,2.0,108.35,127.25,260.23,343.29,229.83,PRICOLLTD
Other Liabilities,,,,42.94,24.21,296.94,384.4,359.73,415.47,444.87,PRICOLLTD
Total,,,,100.23,83.5,1240.89,1390.92,1260.18,1188.02,1198.22,PRICOLLTD
Net Block,,,,60.36,50.24,685.73,667.47,684.14,678.0,610.95,PRICOLLTD
Capital Work in Progress,,,,3.94,,18.06,27.36,13.6,20.6,19.76,PRICOLLTD
Investments,,,,,,115.52,157.09,49.41,51.43,60.27,PRICOLLTD
Other Assets,,,,35.93,33.26,421.58,539.0,513.03,437.99,507.24,PRICOLLTD
Total,,,,100.23,83.5,1240.89,1390.92,1260.18,1188.02,1198.22,PRICOLLTD
Receivables,,,,18.6,21.04,174.45,205.8,191.84,169.28,182.48,PRICOLLTD
Inventory,,,,13.27,7.42,154.12,192.18,179.33,170.66,239.09,PRICOLLTD
Cash & Bank,,,,1.34,1.28,7.19,8.63,10.66,13.17,28.31,PRICOLLTD
No. of Equity Shares,,,,10000000.0,100000000.0,94796721.0,94796721.0,94796721.0,94796721.0,121881498.0,PRICOLLTD
New Bonus Shares,,,,,,,,,,,PRICOLLTD
Face value,,,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,PRICOLLTD
