Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,3.65,3.8,4.07,4.38,4.38,8.76,12.92,12.92,12.92,AHLADA
Reserves,,4.97,6.23,8.76,20.74,24.01,27.72,96.18,97.32,106.09,AHLADA
Borrowings,,11.44,12.9,18.03,24.47,34.45,59.39,53.47,35.11,59.8,AHLADA
Other Liabilities,,7.56,9.43,12.0,34.28,35.02,49.75,45.6,25.24,53.75,AHLADA
Total,,27.62,32.36,42.86,83.87,97.86,145.62,208.17,170.59,232.56,AHLADA
Net Block,,9.47,10.17,11.23,13.54,22.66,28.53,71.48,83.59,107.86,AHLADA
Capital Work in Progress,,,0.37,,1.86,0.59,25.35,7.33,23.6,,AHLADA
Investments,,0.01,0.01,0.01,,,,,0.01,0.01,AHLADA
Other Assets,,18.14,21.81,31.62,68.47,74.61,91.74,129.36,63.39,124.69,AHLADA
Total,,27.62,32.36,42.86,83.87,97.86,145.62,208.17,170.59,232.56,AHLADA
Receivables,,7.7,8.17,12.66,29.85,25.62,35.56,82.84,30.44,52.61,AHLADA
Inventory,,8.33,10.2,16.16,27.89,31.17,43.07,24.33,23.82,34.38,AHLADA
Cash & Bank,,0.76,1.02,1.06,1.86,1.59,2.25,1.42,1.58,5.5,AHLADA
No. of Equity Shares,,3653000.0,3803000.0,4070000.0,,4378000.0,8756000.0,12921000.0,12921000.0,12921000.0,AHLADA
New Bonus Shares,,,,,,,,,,,AHLADA
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AHLADA
