Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,43.83,43.83,43.83,43.83,43.83,54.41,54.41,54.41,54.41,53.61,SURYAROSNI
Reserves,624.46,688.43,730.07,767.19,647.63,896.51,992.91,1097.52,1184.54,1311.59,SURYAROSNI
Borrowings,832.54,857.26,1037.89,947.64,894.99,1070.9,1097.39,1191.53,1090.36,716.59,SURYAROSNI
Other Liabilities,198.19,225.78,258.94,309.7,390.5,594.38,710.69,685.3,640.84,857.29,SURYAROSNI
Total,1699.02,1815.3,2070.73,2068.36,1976.95,2616.2,2855.4,3028.76,2970.15,2939.08,SURYAROSNI
Net Block,820.75,853.23,911.86,936.47,753.44,1100.79,1071.92,1088.58,1061.12,1029.16,SURYAROSNI
Capital Work in Progress,37.88,25.99,53.71,26.38,18.37,15.55,21.91,24.57,14.99,9.66,SURYAROSNI
Investments,50.18,50.06,50.0,50.0,50.0,,,0.05,3.85,3.85,SURYAROSNI
Other Assets,790.21,886.02,1055.16,1055.51,1155.14,1499.86,1761.57,1915.56,1890.19,1896.41,SURYAROSNI
Total,1699.02,1815.3,2070.73,2068.36,1976.95,2616.2,2855.4,3028.76,2970.15,2939.08,SURYAROSNI
Receivables,335.63,410.34,496.58,524.23,525.68,631.81,712.59,837.68,697.81,753.23,SURYAROSNI
Inventory,377.49,380.31,433.13,389.52,469.88,654.95,828.57,843.53,912.81,868.22,SURYAROSNI
Cash & Bank,20.79,18.66,24.69,26.35,27.26,22.3,24.52,2.06,1.58,0.93,SURYAROSNI
No. of Equity Shares,43831250.0,43831250.0,43831250.0,43831250.0,43831250.0,54408974.0,54408974.0,54408974.0,54408974.0,54408974.0,SURYAROSNI
New Bonus Shares,,,,,,,,,,,SURYAROSNI
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SURYAROSNI
