Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,14.08,14.08,14.25,14.59,206.0,206.0,211.25,211.25,211.25,211.25,COFFEEDAY
Reserves,510.07,524.08,430.78,374.51,1682.32,1602.78,1664.74,1597.08,2962.42,2859.58,COFFEEDAY
Borrowings,832.58,790.98,1503.15,1613.58,692.2,960.57,1038.93,351.55,512.85,542.48,COFFEEDAY
Other Liabilities,27.51,510.6,126.43,90.91,13.08,134.75,5.44,6.29,25.26,37.04,COFFEEDAY
Total,1384.24,1839.74,2074.61,2093.59,2593.6,2904.1,2920.36,2166.17,3711.78,3650.35,COFFEEDAY
Net Block,10.48,10.25,9.61,9.1,5.72,5.44,5.15,5.05,6.72,6.17,COFFEEDAY
Capital Work in Progress,,,,,,,,,,,COFFEEDAY
Investments,1040.72,1594.91,1586.53,1586.53,2000.48,2130.53,2131.51,1937.0,1866.16,1866.16,COFFEEDAY
Other Assets,333.04,234.58,478.47,497.96,587.4,768.13,783.7,224.12,1838.9,1778.02,COFFEEDAY
Total,1384.24,1839.74,2074.61,2093.59,2593.6,2904.1,2920.36,2166.17,3711.78,3650.35,COFFEEDAY
Receivables,8.82,0.78,16.78,0.29,0.45,28.6,3.94,3.9,3.92,3.62,COFFEEDAY
Inventory,,,,,,,,,,,COFFEEDAY
Cash & Bank,0.34,0.27,0.54,0.66,56.92,21.16,20.95,12.38,1.96,0.31,COFFEEDAY
No. of Equity Shares,14247000.0,14076000.0,14247000.0,14591551.0,206001719.0,206001719.0,211251719.0,211251719.0,211251719.0,211251719.0,COFFEEDAY
New Bonus Shares,,,,,,,,,,,COFFEEDAY
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,COFFEEDAY
