Report Date,Unnamed: 1,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,,,0.16,0.5,0.44,0.35,0.35,RVHL
Expenses,,0.01,0.02,0.01,0.02,0.18,0.38,0.12,0.14,0.08,RVHL
Other Income,,,,,,,0.01,0.01,0.01,,RVHL
Depreciation,,0.31,0.31,0.31,0.28,0.28,0.29,0.28,0.26,0.27,RVHL
Interest,,,,,,,,,,,RVHL
Profit before tax,,-0.32,-0.33,-0.32,-0.3,-0.3,-0.16,0.05,-0.04,,RVHL
Tax,,0.03,-0.06,-0.06,-0.05,-0.03,0.03,-0.53,0.04,-0.07,RVHL
Net profit,,-0.35,-0.27,-0.27,-0.25,-0.27,-0.19,0.58,-0.09,0.08,RVHL
Operating Profit,,-0.01,-0.02,-0.01,-0.02,-0.02,0.12,0.32,0.21,0.27,RVHL
