Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,24.52,28.0,34.7,39.64,40.7,58.06,72.21,52.62,47.68,54.25,PILITA
Raw Material Cost,18.63,22.73,28.2,32.72,33.05,49.11,57.05,39.35,32.16,34.59,PILITA
Change in Inventory,-0.03,0.71,0.82,0.19,0.11,1.31,-0.44,0.6,2.2,3.23,PILITA
Power and Fuel,1.23,1.63,1.75,1.66,1.93,1.86,2.27,2.55,2.52,2.64,PILITA
Other Mfr. Exp,1.55,1.52,2.16,2.33,1.44,0.9,1.67,1.1,1.32,2.77,PILITA
Employee Cost,1.34,1.44,1.7,2.15,2.29,2.68,3.06,3.29,3.92,5.42,PILITA
Selling and admin,2.01,1.22,1.83,2.07,4.11,4.0,4.12,4.64,5.77,6.4,PILITA
Other Expenses,0.05,0.04,0.04,0.06,-1.76,-0.63,-0.51,-0.3,-0.48,-0.03,PILITA
Other Income,0.82,3.46,16.27,3.89,1.35,8.53,2.45,1.61,0.25,0.13,PILITA
Depreciation,1.09,1.1,0.88,0.36,0.41,0.31,0.32,0.33,0.4,0.48,PILITA
Interest,0.44,0.37,0.42,0.4,0.29,0.53,0.16,0.15,0.19,0.39,PILITA
Profit before tax,-1.03,2.12,14.81,1.97,0.4,9.14,6.08,3.72,4.33,4.95,PILITA
Tax,,,,,,,-4.72,0.58,3.53,1.25,PILITA
Net profit,-1.03,2.12,14.81,1.96,0.4,9.14,10.8,3.14,0.8,3.71,PILITA
