Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,25.68,34.01,40.66,39.69,44.32,55.87,51.07,53.82,62.15,67.8,CYBERTECH
Raw Material Cost,,,,,,,,,,,CYBERTECH
Change in Inventory,,,,,,,,,,,CYBERTECH
Power and Fuel,0.6,0.75,0.9,0.95,0.82,0.74,0.81,0.98,1.01,0.52,CYBERTECH
Other Mfr. Exp,2.17,1.73,3.35,1.9,2.68,8.28,7.26,4.64,4.01,3.45,CYBERTECH
Employee Cost,15.81,21.36,24.91,30.23,29.62,32.75,35.48,39.19,41.82,46.16,CYBERTECH
Selling and admin,2.5,3.31,3.84,3.73,4.71,4.34,4.84,4.03,3.28,2.91,CYBERTECH
Other Expenses,0.61,-0.32,0.21,-0.66,1.0,1.44,1.41,-2.04,-0.54,4.32,CYBERTECH
Other Income,4.66,10.7,5.14,9.83,3.58,9.21,7.93,6.29,6.02,5.49,CYBERTECH
Depreciation,1.57,1.62,1.45,2.3,3.29,4.19,4.59,4.72,4.38,5.63,CYBERTECH
Interest,0.01,0.07,0.48,0.58,0.84,1.4,1.87,1.09,0.49,0.24,CYBERTECH
Profit before tax,7.07,16.19,10.66,10.49,4.94,11.94,2.74,7.5,13.72,10.06,CYBERTECH
Tax,2.01,5.01,1.97,2.32,2.27,3.14,0.78,1.98,3.13,-5.63,CYBERTECH
Net profit,5.06,11.18,8.69,8.17,2.67,8.8,1.96,5.51,10.59,15.69,CYBERTECH
