Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,141.0,170.12,-211.5,324.09,431.89,265.4,35.82,-115.24,1212.0,384.02,KRBL
Cash from Investing Activity,-61.73,-57.71,-125.48,-231.46,-85.48,-202.07,-24.49,20.2,-53.54,-11.67,KRBL
Cash from Financing Activity,-68.11,-115.74,387.99,-149.54,-335.45,-77.85,24.7,59.51,-1148.17,-227.07,KRBL
Net Cash Flow,11.16,-3.33,51.01,-56.91,10.96,-14.52,36.03,-35.53,10.29,145.28,KRBL
