Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,22.96,22.96,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,JCHAC
Reserves,148.26,158.79,212.84,285.69,330.76,413.04,508.01,585.8,661.33,694.66,JCHAC
Borrowings,99.17,165.91,124.93,139.55,160.4,59.52,12.66,189.62,186.89,89.01,JCHAC
Other Liabilities,324.73,483.55,395.41,625.88,591.15,620.77,708.24,736.41,708.66,831.76,JCHAC
Total,595.12,831.21,760.37,1078.31,1109.5,1120.52,1256.1,1539.02,1584.07,1642.62,JCHAC
Net Block,129.56,177.55,195.47,243.03,265.39,257.36,244.27,232.23,400.74,428.48,JCHAC
Capital Work in Progress,12.75,10.87,2.17,2.61,0.76,4.13,1.58,94.13,6.5,9.49,JCHAC
Investments,,,,,,,,,,,JCHAC
Other Assets,452.81,642.79,562.73,832.67,843.35,859.03,1010.25,1212.66,1176.83,1204.65,JCHAC
Total,595.12,831.21,760.37,1078.31,1109.5,1120.52,1256.1,1539.02,1584.07,1642.62,JCHAC
Receivables,148.14,164.53,188.38,283.84,279.95,281.99,414.27,448.37,254.56,264.08,JCHAC
Inventory,268.07,305.64,290.48,490.31,494.35,459.96,442.1,555.47,727.45,704.2,JCHAC
Cash & Bank,2.64,71.58,21.99,5.74,4.16,23.62,35.81,29.85,17.93,122.27,JCHAC
No. of Equity Shares,22960008.0,22960008.0,27190884.0,27190884.0,27190884.0,27190884.0,27190884.0,27190884.0,27190884.0,27190884.0,JCHAC
New Bonus Shares,,,,,,,,,,,JCHAC
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,JCHAC
