Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,1627.79,657.75,1555.52,2497.3,2614.94,1274.18,2503.03,KALYANKJIL
Expenses,,,,1467.0,621.58,1408.47,2226.98,2420.62,1224.09,2302.39,KALYANKJIL
Other Income,,,,40.72,18.01,19.18,4.39,11.29,5.15,5.74,KALYANKJIL
Depreciation,,,,45.76,45.21,42.83,43.87,42.12,45.24,45.62,KALYANKJIL
Interest,,,,78.86,77.27,82.21,83.34,73.26,66.45,69.88,KALYANKJIL
Profit before tax,,,,76.89,-68.3,41.19,147.5,90.23,-56.45,90.88,KALYANKJIL
Tax,,,,19.44,8.63,12.68,36.6,23.73,-13.88,22.99,KALYANKJIL
Net profit,,,,57.45,-76.93,28.5,110.9,66.5,-42.57,67.89,KALYANKJIL
Operating Profit,,,,160.79,36.17,147.05,270.32,194.32,50.09,200.64,KALYANKJIL
