Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.01,0.05,11.53,11.68,14.06,14.17,14.35,14.31,AURUM
Reserves,,,,-0.03,241.64,261.55,505.84,526.4,546.97,161.03,AURUM
Borrowings,,,,,,,,,,,AURUM
Other Liabilities,,,,0.01,10.76,15.58,14.32,17.21,13.12,14.17,AURUM
Total,,,0.01,0.03,263.93,288.81,534.22,557.78,574.44,189.51,AURUM
Net Block,,,,,3.01,13.78,12.52,9.94,9.32,8.69,AURUM
Capital Work in Progress,,,,,,1.73,,,8.78,17.6,AURUM
Investments,,,,,166.09,173.6,473.33,482.22,543.0,141.57,AURUM
Other Assets,,,0.01,0.03,94.83,99.7,48.37,65.62,13.34,21.65,AURUM
Total,,,0.01,0.03,263.93,288.81,534.22,557.78,574.44,189.51,AURUM
Receivables,,,,,4.31,3.78,4.43,,,,AURUM
Inventory,,,,,,,,,,,AURUM
Cash & Bank,,,0.01,0.02,74.71,78.45,30.14,45.09,0.18,7.92,AURUM
No. of Equity Shares,,,10000.0,50000.0,23052401.0,23363035.0,28122396.0,28345441.0,28701947.0,28629689.0,AURUM
New Bonus Shares,,,,,,,,,,,AURUM
Face value,,,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,AURUM
