Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,15.0,20.0,24.0,24.0,24.0,31.25,31.25,31.25,31.25,APEX
Reserves,,9.42,17.84,31.98,51.26,85.42,271.05,323.83,364.61,408.57,APEX
Borrowings,,62.88,78.71,90.37,79.22,110.14,85.43,107.93,162.56,167.92,APEX
Other Liabilities,,7.06,24.24,18.79,24.3,57.14,43.35,46.76,68.09,49.05,APEX
Total,,94.36,140.79,165.14,178.78,276.7,431.08,509.77,626.51,656.79,APEX
Net Block,,26.4,40.26,52.26,55.18,82.87,111.11,114.68,280.21,250.4,APEX
Capital Work in Progress,,,,,8.0,0.78,20.86,116.32,2.8,15.39,APEX
Investments,,,,,,,,,,,APEX
Other Assets,,67.96,100.53,112.88,115.6,193.05,299.11,278.77,343.5,391.0,APEX
Total,,94.36,140.79,165.14,178.78,276.7,431.08,509.77,626.51,656.79,APEX
Receivables,,36.33,33.96,50.21,41.46,82.81,67.39,93.54,79.12,154.59,APEX
Inventory,,21.85,50.54,50.3,59.59,63.82,101.6,106.28,184.05,161.2,APEX
Cash & Bank,,3.79,3.4,1.59,1.83,4.56,64.44,6.67,7.23,9.89,APEX
No. of Equity Shares,,15000000.0,20000000.0,24000000.0,24000000.0,24000000.0,31250000.0,31250000.0,31250000.0,31250000.0,APEX
New Bonus Shares,,,,,,,,,,,APEX
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,APEX
