Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,19.61,19.61,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,KAUSHALYA
Reserves,72.24,70.21,57.72,50.44,-4.31,-8.32,-9.3,13.22,5.66,5.66,KAUSHALYA
Borrowings,42.89,49.48,55.36,61.47,61.34,62.5,63.45,38.85,39.56,34.91,KAUSHALYA
Other Liabilities,53.18,65.34,36.51,32.28,31.41,30.79,17.26,16.07,14.9,4.1,KAUSHALYA
Total,187.92,204.64,184.22,178.82,123.07,119.6,106.04,102.77,94.75,79.3,KAUSHALYA
Net Block,5.61,5.22,4.86,3.98,3.54,5.77,5.34,4.9,4.48,3.95,KAUSHALYA
Capital Work in Progress,,,,,,,,,,,KAUSHALYA
Investments,4.77,17.2,17.2,17.21,64.15,61.44,61.44,61.44,54.2,54.2,KAUSHALYA
Other Assets,177.54,182.22,162.16,157.63,55.38,52.39,39.26,36.43,36.07,21.15,KAUSHALYA
Total,187.92,204.64,184.22,178.82,123.07,119.6,106.04,102.77,94.75,79.3,KAUSHALYA
Receivables,72.54,95.02,76.37,77.96,26.63,22.69,16.02,13.79,13.77,4.7,KAUSHALYA
Inventory,1.96,1.38,1.07,0.99,0.54,0.49,0.48,0.47,0.46,0.05,KAUSHALYA
Cash & Bank,3.31,2.01,2.16,1.6,0.92,0.31,0.41,0.52,0.44,0.46,KAUSHALYA
No. of Equity Shares,19605630.0,19605630.0,34630630.0,34630630.0,34630630.0,34630630.0,34630630.0,34630630.0,34630630.0,34630630.0,KAUSHALYA
New Bonus Shares,,,,,,,,,,,KAUSHALYA
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,KAUSHALYA
