Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,254.59,254.59,254.59,265.29,276.45,276.45,276.45,276.45,276.45,276.45,RTNINDIA
Reserves,367.3,365.15,365.53,372.53,408.32,403.6,401.7,401.03,400.65,400.61,RTNINDIA
Borrowings,,,,,,,,,,,RTNINDIA
Other Liabilities,0.64,0.61,18.9,15.57,1.57,0.63,0.57,0.22,0.14,0.63,RTNINDIA
Total,622.53,620.35,639.02,653.39,686.34,680.68,678.72,677.7,677.24,677.69,RTNINDIA
Net Block,0.05,0.05,0.04,0.06,0.06,0.06,0.05,0.05,0.05,0.05,RTNINDIA
Capital Work in Progress,,,,,,,,,,,RTNINDIA
Investments,592.5,592.5,592.5,592.5,592.5,592.5,592.91,592.5,592.5,676.86,RTNINDIA
Other Assets,29.98,27.8,46.48,60.83,93.78,88.12,85.76,85.15,84.69,0.78,RTNINDIA
Total,622.53,620.35,639.02,653.39,686.34,680.68,678.72,677.7,677.24,677.69,RTNINDIA
Receivables,,,,,,,,,,,RTNINDIA
Inventory,,,,,,,,,,,RTNINDIA
Cash & Bank,0.01,0.06,0.09,59.58,1.8,0.28,0.07,15.33,15.6,0.03,RTNINDIA
No. of Equity Shares,1272956680.0,1272956680.0,1272956680.0,1326457760.0,1382269592.0,1382269592.0,1382269592.0,1382269592.0,1382269592.0,1382269592.0,RTNINDIA
New Bonus Shares,,,,,,,,,,,RTNINDIA
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,RTNINDIA
