Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,48.01,48.01,45.01,90.02,90.02,110.03,110.03,PRINCEPIPE
Reserves,,,,106.41,136.17,197.54,226.56,307.24,727.65,933.45,PRINCEPIPE
Borrowings,,,,299.55,299.34,322.88,372.4,296.91,264.17,88.04,PRINCEPIPE
Other Liabilities,,,,141.65,169.78,195.07,290.9,339.7,308.36,474.56,PRINCEPIPE
Total,,,,595.62,653.3,760.5,979.88,1033.87,1410.21,1606.08,PRINCEPIPE
Net Block,,,,224.17,237.53,268.53,344.65,363.36,488.58,502.99,PRINCEPIPE
Capital Work in Progress,,,,4.35,14.13,18.03,14.68,61.51,7.53,76.55,PRINCEPIPE
Investments,,,,0.16,1.51,0.73,0.74,0.78,0.63,1.46,PRINCEPIPE
Other Assets,,,,366.94,400.13,473.21,619.81,608.22,913.47,1025.08,PRINCEPIPE
Total,,,,595.62,653.3,760.5,979.88,1033.87,1410.21,1606.08,PRINCEPIPE
Receivables,,,,212.6,238.99,236.74,239.39,250.36,179.71,353.37,PRINCEPIPE
Inventory,,,,112.56,100.52,174.24,241.52,201.06,344.52,227.33,PRINCEPIPE
Cash & Bank,,,,6.04,8.57,12.37,9.63,22.32,257.02,229.92,PRINCEPIPE
No. of Equity Shares,,,,48007908.0,48007908.0,45007908.0,90015816.0,90015816.0,110025759.0,110025759.0,PRINCEPIPE
New Bonus Shares,,,,,,,45007908.0,,,,PRINCEPIPE
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PRINCEPIPE
