Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,320.94,320.94,320.94,320.94,320.94,320.94,RAILTEL
Reserves,,,,,763.32,838.33,928.44,962.79,1040.34,1081.79,RAILTEL
Borrowings,,,,,,,,1.36,42.54,30.18,RAILTEL
Other Liabilities,,,,,1126.27,1155.31,1009.54,870.45,852.28,1183.29,RAILTEL
Total,,,,,2210.53,2314.58,2258.92,2155.54,2256.1,2616.2,RAILTEL
Net Block,,,,,710.53,693.91,687.99,789.86,789.19,759.78,RAILTEL
Capital Work in Progress,,,,,261.71,359.72,364.17,299.9,252.54,214.84,RAILTEL
Investments,,,,,10.0,,10.0,17.04,10.0,10.0,RAILTEL
Other Assets,,,,,1228.29,1260.95,1196.76,1048.74,1204.37,1631.58,RAILTEL
Total,,,,,2210.53,2314.58,2258.92,2155.54,2256.1,2616.2,RAILTEL
Receivables,,,,,257.78,374.19,465.38,456.99,474.96,761.44,RAILTEL
Inventory,,,,,0.59,0.22,,0.87,0.49,1.21,RAILTEL
Cash & Bank,,,,,559.76,616.02,444.84,334.57,170.2,520.22,RAILTEL
No. of Equity Shares,,,,,320940000.0,320940000.0,320938407.0,320938407.0,320938407.0,320938407.0,RAILTEL
New Bonus Shares,,,,,,,,,,,RAILTEL
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,RAILTEL
