Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,223.07,353.7,487.58,625.32,700.74,687.23,626.23,699.63,725.53,710.68,DLINKINDIA
Raw Material Cost,191.6,291.39,423.97,525.66,608.39,555.48,543.14,601.59,613.94,588.15,DLINKINDIA
Change in Inventory,14.74,2.25,18.95,14.95,17.95,-31.15,-0.52,18.48,16.59,-8.52,DLINKINDIA
Power and Fuel,0.28,0.31,0.4,0.62,0.62,0.56,0.54,0.48,0.48,0.34,DLINKINDIA
Other Mfr. Exp,0.52,0.9,0.53,0.87,0.55,0.76,2.11,1.82,3.9,9.49,DLINKINDIA
Employee Cost,13.16,17.06,21.73,30.25,31.08,30.42,28.97,26.41,26.4,27.43,DLINKINDIA
Selling and admin,17.48,25.33,32.42,45.55,39.86,36.92,32.52,42.47,52.12,35.71,DLINKINDIA
Other Expenses,3.66,1.48,5.73,4.31,4.56,8.95,2.91,2.52,5.0,2.85,DLINKINDIA
Other Income,0.74,0.58,1.12,1.56,1.39,2.0,2.15,-4.37,12.28,5.97,DLINKINDIA
Depreciation,1.6,1.66,1.68,1.7,1.47,1.17,1.06,0.99,4.2,3.87,DLINKINDIA
Interest,0.16,0.18,0.82,0.46,0.36,0.51,0.85,0.09,0.38,0.63,DLINKINDIA
Profit before tax,10.09,18.22,20.37,32.41,33.19,23.31,15.76,37.37,47.98,39.66,DLINKINDIA
Tax,3.05,5.9,6.79,11.08,11.69,8.06,5.34,13.82,13.9,10.34,DLINKINDIA
Net profit,7.04,12.33,13.58,21.33,21.5,15.25,10.42,23.55,34.08,29.32,DLINKINDIA
