Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,664.71,752.63,1014.71,1075.59,1075.59,1559.73,2308.16,5423.4,9918.34,9918.34,UCOBANK
Reserves,6125.72,7106.79,10211.58,11473.36,10511.36,10043.74,7517.02,8370.97,9291.28,10088.07,UCOBANK
Borrowings,166904.91,182923.48,220251.79,224589.25,224358.68,210819.47,194298.54,206230.46,208898.5,221302.02,UCOBANK
Other Liabilities,6803.05,7868.5,7646.67,8778.71,8936.9,8916.76,11932.45,10459.25,7800.03,12027.68,UCOBANK
Total,180498.39,198651.4,239124.75,245916.91,244882.53,231339.7,216056.17,230484.08,235908.15,253336.11,UCOBANK
Net Block,801.55,878.61,1018.28,1066.27,2878.25,2843.39,2866.87,2814.3,2832.4,3151.2,UCOBANK
Capital Work in Progress,3.2,10.98,43.48,47.73,6.38,6.09,8.23,8.01,7.97,67.03,UCOBANK
Investments,45771.5,52244.9,67451.69,64223.05,83974.2,74019.12,70962.15,82231.69,90998.81,93782.95,UCOBANK
Other Assets,133922.14,145516.91,170611.3,180579.86,158023.7,154471.1,142218.92,145430.08,142068.97,156334.93,UCOBANK
Total,180498.39,198651.4,239124.75,245916.91,244882.53,231339.7,216056.17,230484.08,235908.15,253336.11,UCOBANK
Receivables,,,,,,,,,,,UCOBANK
Inventory,,,,,,,,,,,UCOBANK
Cash & Bank,13603.67,12344.12,15012.01,22168.97,18559.23,18099.88,14748.04,24432.1,17806.16,23600.24,UCOBANK
No. of Equity Shares,664712240.0,752628583.0,1014709162.0,1075591712.0,1075591712.0,1559728157.0,2308157136.0,5423398204.0,9918340622.0,9918340622.0,UCOBANK
New Bonus Shares,,,,,,,,,,,UCOBANK
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,UCOBANK
