Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,750.5,692.13,834.79,850.75,876.6,1505.04,1920.17,2137.26,2244.24,2702.63,KNRCON
Raw Material Cost,287.36,201.89,290.63,337.0,279.17,335.09,505.51,643.2,753.28,926.45,KNRCON
Change in Inventory,,,,,,,,,,,KNRCON
Power and Fuel,2.55,2.28,2.85,2.98,3.68,4.61,6.7,8.91,13.96,16.17,KNRCON
Other Mfr. Exp,260.42,325.88,332.83,305.3,372.91,856.05,915.72,931.38,817.42,1033.57,KNRCON
Employee Cost,26.94,29.56,35.01,38.23,43.33,55.5,72.45,93.23,125.65,132.61,KNRCON
Selling and admin,30.52,13.95,42.72,41.36,45.39,54.63,31.34,26.01,30.35,24.89,KNRCON
Other Expenses,8.94,2.1,4.79,-0.29,-21.33,-30.91,1.42,7.04,15.97,30.45,KNRCON
Other Income,5.66,17.85,15.79,13.25,31.18,18.92,38.41,60.82,45.87,38.09,KNRCON
Depreciation,51.38,55.67,57.23,54.06,42.25,63.87,134.15,168.11,191.85,144.37,KNRCON
Interest,9.64,11.63,17.63,13.06,13.24,21.9,23.14,29.61,47.95,51.07,KNRCON
Profit before tax,78.41,67.02,66.89,72.3,129.14,163.22,268.15,290.59,293.68,381.14,KNRCON
Tax,25.65,14.88,5.91,-0.71,-31.94,5.96,-3.94,27.33,68.46,136.96,KNRCON
Net profit,52.76,52.13,60.98,73.01,161.07,157.25,272.09,263.27,225.22,244.18,KNRCON
