Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,2.4,2.42,4.84,6.62,6.62,10.59,AKG
Reserves,,,,,8.2,8.69,7.23,11.98,13.07,10.17,AKG
Borrowings,,,,,33.93,36.7,26.34,29.35,9.96,9.55,AKG
Other Liabilities,,,,,11.98,12.77,14.0,9.73,1.77,4.18,AKG
Total,,,,,56.51,60.58,52.41,57.68,31.42,34.49,AKG
Net Block,,,,,7.7,7.74,7.91,8.6,0.87,0.69,AKG
Capital Work in Progress,,,,,,,,,,,AKG
Investments,,,,,0.92,,,,,0.53,AKG
Other Assets,,,,,47.89,52.84,44.5,49.08,30.55,33.27,AKG
Total,,,,,56.51,60.58,52.41,57.68,31.42,34.49,AKG
Receivables,,,,,30.94,35.32,25.33,31.11,17.2,23.1,AKG
Inventory,,,,,3.32,2.07,7.8,10.89,3.05,3.14,AKG
Cash & Bank,,,,,1.88,5.26,3.02,2.79,3.37,0.02,AKG
No. of Equity Shares,,,,,2396100.0,2420060.0,4840120.0,6620120.0,6620120.0,10592192.0,AKG
New Bonus Shares,,,,,,,,,,,AKG
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,AKG
