Report Date,2012-09-30 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,532.9,200.42,416.5,409.22,356.2,410.91,488.1,640.37,547.5,676.41,PUNJABCHEM
Raw Material Cost,328.17,107.83,244.7,235.85,199.55,245.63,297.49,403.25,324.38,399.7,PUNJABCHEM
Change in Inventory,-2.79,-5.05,13.84,-3.25,-1.68,3.85,2.89,4.12,-0.77,-5.38,PUNJABCHEM
Power and Fuel,51.29,19.13,42.68,37.48,33.01,34.69,42.0,46.72,42.29,41.15,PUNJABCHEM
Other Mfr. Exp,12.96,5.16,15.18,9.77,11.37,24.71,28.38,28.49,28.16,32.42,PUNJABCHEM
Employee Cost,57.35,20.1,50.51,46.08,44.08,48.58,54.38,63.65,68.82,67.84,PUNJABCHEM
Selling and admin,32.1,18.42,21.72,19.34,19.27,10.86,14.07,17.32,22.42,14.09,PUNJABCHEM
Other Expenses,47.94,13.44,19.95,13.01,21.6,44.84,20.42,18.98,19.5,21.49,PUNJABCHEM
Other Income,-8.57,11.17,12.9,8.4,46.98,29.23,14.68,1.79,19.24,0.95,PUNJABCHEM
Depreciation,19.91,7.17,14.84,17.58,15.44,14.31,13.94,18.6,15.35,14.86,PUNJABCHEM
Interest,61.53,17.36,32.48,31.7,21.47,21.74,17.51,17.06,17.94,12.32,PUNJABCHEM
Profit before tax,-89.71,-2.07,1.18,3.56,35.71,-1.37,17.48,32.21,27.11,68.11,PUNJABCHEM
Tax,0.16,,,,0.09,0.73,7.08,11.96,11.33,17.57,PUNJABCHEM
Net profit,-89.87,-2.07,1.18,3.56,35.62,-2.1,10.4,20.25,15.78,50.54,PUNJABCHEM
