Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,0.02,6.21,408.18,981.05,1542.71,2111.93,2645.44,3194.41,EQUITASBNK
Raw Material Cost,,,,,,,,,,,EQUITASBNK
Change in Inventory,,,,,,,,,,,EQUITASBNK
Power and Fuel,,,,0.11,,,,,,,EQUITASBNK
Other Mfr. Exp,,,,0.13,1.6,6.08,17.33,19.35,21.56,21.91,EQUITASBNK
Employee Cost,,,,11.55,94.17,319.04,516.26,552.19,711.73,794.09,EQUITASBNK
Selling and admin,,,0.23,3.46,45.18,125.98,233.89,261.78,294.58,283.91,EQUITASBNK
Other Expenses,,,0.01,2.01,89.44,110.15,196.2,181.5,276.61,488.52,EQUITASBNK
Other Income,,,,0.02,71.18,233.23,241.22,282.9,282.35,418.05,EQUITASBNK
Depreciation,,,,,4.74,31.71,87.51,91.78,96.45,76.43,EQUITASBNK
Interest,,,,1.86,159.11,459.87,684.22,964.5,1150.14,1396.45,EQUITASBNK
Profit before tax,,,-0.22,-12.89,85.12,161.45,48.52,323.73,376.72,551.15,EQUITASBNK
Tax,,,,,,57.32,16.69,113.17,133.08,166.92,EQUITASBNK
Net profit,,,-0.22,-12.89,85.12,104.13,31.83,210.57,243.64,384.22,EQUITASBNK
