Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,36.98,112.36,125.32,129.93,162.76,156.14,321.87,203.26,564.39,9.88,SHOPERSTOP
Cash from Investing Activity,-119.07,-142.23,-206.8,-147.18,-164.29,-85.37,32.22,-131.23,-283.45,-36.0,SHOPERSTOP
Cash from Financing Activity,85.63,34.17,78.34,13.31,1.76,-109.89,-270.14,-59.08,-423.24,170.74,SHOPERSTOP
Net Cash Flow,3.54,4.3,-3.14,-3.94,0.24,-39.12,83.95,12.95,-142.3,144.62,SHOPERSTOP
