Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,8.29,8.29,8.29,8.29,8.29,12.44,16.94,25.4,25.4,MMP
Reserves,,6.36,7.3,12.75,20.62,38.18,47.35,143.06,153.94,169.76,MMP
Borrowings,,20.59,28.54,42.57,39.41,40.76,37.53,23.45,16.62,29.5,MMP
Other Liabilities,,8.98,11.07,23.29,21.03,18.92,53.81,24.57,26.59,33.19,MMP
Total,,44.22,55.2,86.9,89.35,106.15,151.13,208.02,222.55,257.85,MMP
Net Block,,13.02,18.56,33.78,36.68,36.66,37.22,43.85,89.74,111.96,MMP
Capital Work in Progress,,0.82,2.24,2.04,0.87,0.54,0.06,24.82,17.49,28.97,MMP
Investments,,1.68,1.04,1.12,1.12,8.0,8.0,8.0,8.0,8.0,MMP
Other Assets,,28.7,33.36,49.96,50.68,60.95,105.85,131.35,107.32,108.92,MMP
Total,,44.22,55.2,86.9,89.35,106.15,151.13,208.02,222.55,257.85,MMP
Receivables,,13.37,14.73,27.74,27.22,34.34,45.39,42.85,37.69,39.03,MMP
Inventory,,12.07,16.5,19.42,18.58,19.95,19.67,24.49,35.21,49.59,MMP
Cash & Bank,,0.2,0.33,0.19,1.47,3.17,34.05,47.73,15.77,5.06,MMP
No. of Equity Shares,,8290050.0,8290050.0,8290050.0,8290050.0,8290050.0,12435075.0,16935075.0,25402613.0,25402613.0,MMP
New Bonus Shares,,,,,,,,,,,MMP
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MMP
