Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,686.93,3626.84,4245.17,4278.5,4269.8,4750.03,7664.45,GOKULAGRO
Raw Material Cost,,,,730.39,3434.84,3997.24,3955.04,4009.27,4334.25,7174.92,GOKULAGRO
Change in Inventory,,,,67.66,11.65,28.79,-7.94,76.02,-88.21,-98.41,GOKULAGRO
Power and Fuel,,,,10.45,35.66,36.86,40.57,39.43,39.48,48.94,GOKULAGRO
Other Mfr. Exp,,,,2.22,12.09,63.85,76.77,65.85,70.66,80.82,GOKULAGRO
Employee Cost,,,,3.46,16.67,18.37,22.55,24.96,22.75,26.72,GOKULAGRO
Selling and admin,,,,8.9,59.04,85.77,69.22,64.22,59.06,99.1,GOKULAGRO
Other Expenses,,,,0.18,23.89,-11.12,5.33,31.51,24.61,9.56,GOKULAGRO
Other Income,,,,18.17,18.23,21.43,10.86,9.91,11.96,13.98,GOKULAGRO
Depreciation,,,,-0.41,15.21,20.7,27.67,29.78,22.21,29.35,GOKULAGRO
Interest,,,,15.86,39.82,53.36,66.83,82.57,79.63,56.07,GOKULAGRO
Profit before tax,,,,1.71,19.5,30.36,17.44,8.14,21.13,54.54,GOKULAGRO
Tax,,,,-1.82,5.29,10.77,4.54,3.02,6.74,19.9,GOKULAGRO
Net profit,,,,3.53,14.2,19.59,12.9,5.12,14.38,34.64,GOKULAGRO
