Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,152.14,152.14,171.1,205.02,205.02,205.02,CHALET
Reserves,,,,,397.02,349.68,351.21,1241.86,1344.2,1227.91,CHALET
Borrowings,,,,,2331.15,2611.69,2683.67,1491.83,1673.25,1850.54,CHALET
Other Liabilities,,,,,486.9,449.2,485.06,656.23,683.79,659.77,CHALET
Total,,,,,3367.21,3562.71,3691.04,3594.94,3906.26,3943.24,CHALET
Net Block,,,,,2401.14,2848.39,2819.18,2753.42,2719.39,2792.06,CHALET
Capital Work in Progress,,,,,31.61,22.36,21.92,28.48,87.51,35.85,CHALET
Investments,,,,,47.43,0.32,4.32,29.72,131.01,130.99,CHALET
Other Assets,,,,,887.03,691.64,845.62,783.32,968.35,984.34,CHALET
Total,,,,,3367.21,3562.71,3691.04,3594.94,3906.26,3943.24,CHALET
Receivables,,,,,18.14,29.62,55.17,47.68,39.35,21.24,CHALET
Inventory,,,,,325.76,319.09,349.25,440.64,436.32,435.21,CHALET
Cash & Bank,,,,,34.18,32.77,31.58,82.55,115.14,34.48,CHALET
No. of Equity Shares,,,,,152142253.0,152142253.0,171095293.0,205023864.0,205023864.0,205023864.0,CHALET
New Bonus Shares,,,,,,,,,,,CHALET
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,CHALET
