Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,4409.5,3947.57,4008.89,3625.18,2430.57,4186.35,4566.75,4737.68,4127.72,4831.65,MRF
Expenses,3806.68,3406.82,3398.69,3055.25,2099.06,3331.91,3603.59,3992.11,3640.5,4319.4,MRF
Other Income,104.88,94.8,73.34,57.48,43.04,44.28,63.38,56.53,92.36,88.66,MRF
Depreciation,228.0,237.2,248.97,266.45,272.95,283.93,283.07,296.97,300.74,295.83,MRF
Interest,68.18,66.49,70.44,69.15,73.7,52.76,63.75,74.51,62.06,56.55,MRF
Profit before tax,411.52,331.86,364.13,291.81,27.9,562.03,679.72,430.62,216.78,248.53,MRF
Tax,143.0,111.5,127.5,-377.66,10.85,159.0,168.0,113.36,55.45,65.15,MRF
Net profit,268.52,220.36,236.63,669.47,17.05,403.03,511.72,317.26,161.33,183.38,MRF
Operating Profit,602.82,540.75,610.2,569.93,331.51,854.44,963.16,745.57,487.22,512.25,MRF
