Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,,0.01,-0.57,-0.01,-0.82,-2.48,-2.18,0.5,0.72,0.28,JAIPURKURT
Cash from Investing Activity,,,-0.04,-0.01,-0.2,-0.76,-1.27,-0.49,-0.3,-0.58,JAIPURKURT
Cash from Financing Activity,,0.02,0.6,0.06,1.06,3.19,3.46,0.11,-0.49,0.32,JAIPURKURT
Net Cash Flow,,0.03,-0.01,0.04,0.05,-0.05,0.01,0.12,-0.07,0.03,JAIPURKURT
