Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,ASIANHOTNR
Reserves,822.37,848.94,783.26,733.38,737.51,721.38,719.28,686.68,623.66,352.08,ASIANHOTNR
Borrowings,662.56,755.39,899.89,905.69,945.12,947.37,895.72,911.54,920.02,958.84,ASIANHOTNR
Other Liabilities,262.18,293.74,258.57,240.01,149.27,142.49,175.86,201.34,230.64,250.47,ASIANHOTNR
Total,1766.56,1917.52,1961.17,1898.53,1851.35,1830.69,1810.31,1819.01,1793.77,1580.84,ASIANHOTNR
Net Block,983.23,983.43,1185.81,1270.81,1213.29,1185.55,1148.12,1128.93,1096.19,1503.23,ASIANHOTNR
Capital Work in Progress,200.2,269.69,67.11,9.51,3.38,1.4,1.91,0.95,1.48,1.49,ASIANHOTNR
Investments,104.66,107.96,556.61,559.15,562.96,561.43,563.07,567.28,573.61,1.43,ASIANHOTNR
Other Assets,478.47,556.44,151.64,59.06,71.72,82.31,97.21,121.85,122.49,74.69,ASIANHOTNR
Total,1766.56,1917.52,1961.17,1898.53,1851.35,1830.69,1810.31,1819.01,1793.77,1580.84,ASIANHOTNR
Receivables,11.63,11.19,9.97,9.86,10.67,10.89,12.01,16.66,12.76,15.45,ASIANHOTNR
Inventory,5.56,6.34,6.11,4.59,7.98,9.49,11.61,11.27,10.33,5.82,ASIANHOTNR
Cash & Bank,3.37,2.89,35.51,3.65,17.54,14.85,9.36,5.14,1.98,1.69,ASIANHOTNR
No. of Equity Shares,19453229.0,19453229.0,19453229.0,19453229.0,19453229.0,19453229.0,19453229.0,19453229.0,19453229.0,19453229.0,ASIANHOTNR
New Bonus Shares,,,,,,,,,,,ASIANHOTNR
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ASIANHOTNR
