Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,57.6,57.6,57.6,57.6,57.6,57.6,TEGA
Reserves,,,,,420.57,345.45,366.64,417.18,481.23,755.02,TEGA
Borrowings,,,,,44.98,112.72,151.23,137.95,211.73,154.13,TEGA
Other Liabilities,,,,,59.69,126.02,108.97,120.96,126.57,148.44,TEGA
Total,,,,,582.84,641.79,684.44,733.69,877.13,1115.19,TEGA
Net Block,,,,,62.09,171.32,159.46,125.31,131.27,142.2,TEGA
Capital Work in Progress,,,,,6.0,8.17,4.98,4.04,8.62,4.89,TEGA
Investments,,,,,275.06,180.5,168.24,243.08,397.35,626.28,TEGA
Other Assets,,,,,239.69,281.8,351.76,361.26,339.89,341.82,TEGA
Total,,,,,582.84,641.79,684.44,733.69,877.13,1115.19,TEGA
Receivables,,,,,114.92,129.57,178.47,223.1,184.96,180.08,TEGA
Inventory,,,,,46.34,82.61,71.81,78.33,88.16,108.1,TEGA
Cash & Bank,,,,,5.01,12.32,37.93,1.34,5.9,1.18,TEGA
No. of Equity Shares,,,,,57600868.0,57600868.0,57600868.0,57600868.0,57600868.0,57600868.0,TEGA
New Bonus Shares,,,,,,,,,,,TEGA
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,TEGA
