Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.01,0.01,0.01,7.55,10.27,10.27,10.27,DANGEE
Reserves,,,,-0.15,-0.8,-1.64,5.2,24.26,18.6,8.67,DANGEE
Borrowings,,,,1.22,2.15,3.86,28.81,16.88,15.22,17.47,DANGEE
Other Liabilities,,,,0.31,0.14,0.24,3.29,2.78,33.93,19.51,DANGEE
Total,,,,1.39,1.5,2.47,44.85,54.19,78.02,55.92,DANGEE
Net Block,,,,0.81,0.99,1.8,21.58,22.11,49.82,31.19,DANGEE
Capital Work in Progress,,,,,,,0.28,0.74,,,DANGEE
Investments,,,,,,,0.02,5.4,2.21,0.37,DANGEE
Other Assets,,,,0.58,0.51,0.67,22.97,25.94,25.99,24.36,DANGEE
Total,,,,1.39,1.5,2.47,44.85,54.19,78.02,55.92,DANGEE
Receivables,,,,,0.01,0.06,4.15,2.08,1.64,1.66,DANGEE
Inventory,,,,0.16,0.13,0.25,2.48,3.38,5.08,1.62,DANGEE
Cash & Bank,,,,0.06,0.04,0.04,2.22,2.8,0.95,1.07,DANGEE
No. of Equity Shares,,,,10000.0,10000.0,10000.0,7553000.0,10265000.0,10265000.0,10265000.0,DANGEE
New Bonus Shares,,,,,,,,,,,DANGEE
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,DANGEE
